subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
27,27,1,1,1,1,1,4,7,5,2,3,0,4,2,1,0,BRAIN FUNCTIONS WITH PEN IN MOUTH,22,1,1,FINANCE
28,28,1,0,0,0,0,0,8,6,2,7,3,7,3,1,0,FACED WITH CHALLENGE THEY AREN'T GOOD AT,20,1,1,MATHS
29,29,0,1,1,1,1,4,5,4,0,0,1,5,8,1,0,STEADINESS,19,1,1,POLITICS
30,30,0,1,0,0,1,2,6,5,5,6,7,8,3,1,0,DISABILITY AND LEARNING TO DRAW,21,0,1,LAW
41,41,1,1,1,1,0,3,8,7,6,5,3,3,3,0,0,To explore ability to concentrate on a task while using your natural abilities in a different way.,21,1,1,Business
42,42,0,1,0,1,1,3,8,6,4,3,4,8,2,1,0,To see if we are distracted by the cartoons so are better able to write with our mouths.,20,0,1,Law
43,43,0,0,1,1,1,3,8,8,0,7,5,6,5,1,0,Frustration at trying to hold the pen may limit amusement! But then there would be a pen-less control... Concentration may affect amusement?,21,0,1,Psychology
44,44,1,1,1,0,1,3,7,4,8,6,7,8,6,1,0,To see what the effect the pen has on my ability to perform certain tasks. If the pen makes tasks harder because I wasn't able to use my hands.,20,0,1,Psychology
45,45,1,1,0,1,1,3,6,2,5,7,4,8,4,1,0,To see how concentrating on holding a pen in your mouth affects emotions/understanding.,20,0,1,History
46,46,0,1,1,1,1,4,4,2,0,6,0,0,3,1,0,To see if mood affects people's ability to control the pen.,20,0,1,History
47,47,1,1,1,1,1,4,6,4,7,5,4,7,6,1,0,To see how well people can coordinate whilst being recorded.,20,0,1,Mathematics
48,48,1,0,1,1,1,3,9,8,2,2,1,1,1,1,0,Seeing if sense of humour/personality correlated with motor function – maybe people who would find the cartoons funny would be more/less able to control the pen with their mouth.,20,0,1,Biomedical Science
49,49,0,1,1,1,1,4,5,5,6,8,7,4,6,1,0,"To establish how someone can multi-task with challenging tasks and simple instructions. Also, to establish ease of simple tasks when distracted.",21,0,1,English Lang/Linguistics
50,50,0,1,1,1,1,4,5,6,3,7,0,9,7,1,0,"To see how disabled people have to communicate. Also, trying out different low-tech methods of communication that less able people may have to use. Seeing how our co-ordination varies depending on which part of the body we are forced to use.",20,0,1,Mathematics
51,51,1,1,1,1,1,4,7,3,2,6,4,7,6,1,0,To see how hard it is to perform simple tasks in a way that you don't normally do. Allowing for development in the area of producing products/technology to help disabled people.,20,0,1,Mathematics
52,52,0,1,1,1,1,4,8,6,2,4,0,6,4,1,0,Identifying how subjects identify workarounds when required to do a task in a way that they are physically disadvantaged and illustrating the difficulties faced by people who have to do this every day.,20,0,1,English Language
53,53,1,1,1,1,0,3,3,3,2,6,3,7,9,1,1,"To see if the response to cartoons (i.e. humorous media) is altered in any way by the facial muscles' position - when holding the pen in the correct way, the facial muscles seemed to be in a similar position to that of a smile. Maybe something to  do with the association between a smile and humour?",20,1,1,Physics
54,54,0,1,0,1,1,3,9,7,7,4,5,9,1,1,0,Emotions and bodily movements.,22,0,1,Law
55,55,1,1,1,1,1,4,3,4,5,6,3,6,7,1,0,How easy it is to hold a pen in your mouth (how well you can follow instructions? Haha),20,1,1,Computer Science
56,56,0,1,1,1,1,4,6,4,4,6,0,7,9,0,0,"To investigate how using part of the body to carry out a task that you ouldn't normally use affects mood/amusement. i.e. if found too difficult, you may be less amused.",21,0,1,Medicine and Surgery
57,57,1,1,1,1,1,4,6,4,7,3,2,5,6,1,0,"We are so used to thinking about a task and writing with our hands that the way we think is not something we ever consider. So perhaps the experiment is to explore how different one's thought processes are when using a pen in one's mouth, instead of one's hand.",23,1,1,Organisation Studies and Sociology
58,58,0,1,1,1,1,4,8,5,0,1,0,0,2,0,0,"Concentrating on holding pen, so don't really pay attention to cartoons - how much concentration was given to both tasks?",20,0,1,Biomedical Science
59,59,1,1,1,1,1,4,8,6,5,2,3,4,3,1,0,"The purpose was to understand if there are effective ways to perform basic essential functins, such as writing without using our hands. It may have also been an experiment to understandw whether using different/non-traditional parts of our body inhibits our ability to concentrate & understand written material (such as cartoons). Does it confuse our brain?",20,0,1,Law
60,60,0,1,1,1,1,4,6,3,3,6,0,5,1,1,0,Find out if it's easier for people to learn how to use other parts of their body (their mouth) for purposes they wouldn’t normally use it for (writing). This can be easier & cheaper than investiging in expensive technologies that are hard to learn properly.,22,0,1,Economics
61,61,1,1,1,1,1,4,7,4,4,4,1,5,3,1,0,The effect of current mood on the ability to carry out challenging tasks.,21,0,1,English Language
62,62,0,1,1,1,1,4,7,3,3,2,2,3,6,1,0,"To understand people's emotions, but when put out of their comfort zone.",21,0,1,Biomedical Sciences
63,63,1,0,1,1,1,3,7,8,5,7,6,9,7,1,0,To see if understanding affects psychomotoric capabilities,20,0,1,Psychology
64,64,0,1,1,1,1,4,7,4,2,4,1,3,4,1,0,"To see if communicating with different parts of the body, which are not normally used works - aiming to find an alternative for people who are unable to communicate/write conveniently. ",19,0,1,Marketing and German
65,65,1,1,1,1,1,4,6,3,3,5,2,3,4,1,0,The effect on senses whilst uncomfortable,19,1,1,Physics
66,66,0,1,1,1,1,4,6,0,3,7,5,8,9,1,0,To test cognitive and moto function in order to understand how those who cannot use their hands write. Additionally can be used as a measure of how well people can adapt to difficult situations.,19,1,1,History
67,67,1,1,1,1,0,3,6,4,8,9,5,8,6,1,0,I think the purpose may have been to observe the various ways in which individuals may try in order to make the task simpler and how this correlates with their personality and social situations e.g. job and age.,20,0,1,Accounting and Finance
68,68,0,1,1,1,1,4,6,5,0,4,2,6,6,1,0,To test the ability of people to utilise tools designed for one appendage (e.g. a pen for the hands) using an unorthodox appendage (such as pen/mouth) for testing ways for people with disabilities to compensate for their condition.,19,1,1,Politics
69,69,1,1,1,0,1,3,6,6,7,5,7,5,6,1,1,Whether a semi-smile facial expression (induced by holding a pen with teeth) would lead to higher rating of the cartoons.,22,1,1,Psychology
70,70,0,1,1,1,0,3,5,4,4,5,4,6,6,1,0,To see whether the brain is capable of learning how to carry out simple tasks using body parts that are not usually used when carrying out specific tasks.,20,0,1,Psychology
71,71,1,1,1,1,1,4,3,2,3,3,3,6,8,1,0,To see if I can perform tasks using other kinds of movements/with diff (unusual) part of the body.,20,0,1,English Language
72,72,0,1,1,1,1,4,6,5,2,2,3,5,5,1,0,To identify how difficult it is to co-ordinate having a pen in your mouth whilst also completing a task booklet (psychomotor coordintion),19,0,1,Psychology
73,73,1,1,1,1,1,4,8,4,2,8,2,6,8,1,0,To see how good motor skills are.,18,0,1,Psychology
74,74,0,1,1,1,1,4,8,5,7,7,2,1,3,1,0,To see how well people can adapt to only beig able to use their mouth to write.,20,1,1,Psychology
75,75,1,1,1,1,1,4,8,6,3,6,4,7,7,1,0,To see if our amusement affected our ability to to control our smiling /lip gestures,19,0,1,Psychology
81,81,1,1,1,1,1,4,6,6,2,5,3,7,7,1,0,To examine the behaviour of participants as they use the pen,24,1,1,Natural science
82,82,0,1,1,1,1,4,7,7,0,7,2,6,2,1,0,To examine whether humour was easier or more difficult to elicit after exposure to frustrating stimuli,20,0,1,Natural science
83,83,1,1,1,1,1,4,9,5,1,3,1,5,6,1,0,Pretty sure it has more to do with how we react to the cartoons but I can't really imagine what exactly,19,0,1,Chemistry
84,84,0,1,1,1,1,4,6,4,3,3,2,4,7,1,0,The purpose of the experiment was to find out the dexterity of different people while they perform tasks they usually wouldn't do,20,0,1,Chemistry
85,85,1,1,1,1,1,4,9,3,7,7,0,0,8,1,0,To assess whether people doing something they find difficult are less likely to be amused,22,1,1,Computer science
86,86,0,1,1,1,1,4,5,5,4,7,2,7,9,1,0,How you react when put in an unfamiliar situation maybe?,20,1,1,Particle physics
87,87,1,1,1,1,1,4,9,7,4,4,1,5,7,1,1,To register facial expressions while carrying out tasks eg if smiling or embarrassed,20,1,1,Advertising and Marketing
88,88,0,1,1,1,1,4,5,4,1,4,0,5,7,1,0,I think the purpose of this experiment is to see how changing emotions effect how well we can draw with the pen. IE- when we are connecting the dots we're concentrating therefore we may produce better lines. However when we are looking at the cartoons we may be slightly amused and not realy concentrating on how well our drawn lines are.,20,0,1,Geography
89,89,1,1,1,1,1,4,6,3,2,7,4,3,6,0,0,Research for new technologies for physically impaired people or to show how difficulties arise from being physically impaired.,20,0,1,Geography
90,90,0,1,1,1,1,4,4,5,1,1,1,3,6,1,0,"To find a link between an ability to adapt to new motor activities and psychological traits, perhaps?",20,1,1,Maths
91,91,1,1,1,1,1,4,5,4,4,3,5,2,3,1,0,To see if a person improves under different circumstances?,18,0,1,Psychology and Linguistics
92,92,0,1,1,0,0,2,7,6,1,3,2,1,0,1,0,To see if I used my mouth the whole time or I cheated,19,1,1,Psychology and spanish
93,93,1,1,1,1,1,4,8,7,2,3,7,4,5,0,0,To measure cognitive ability while performing a complex/unfamiliar physical task,58,0,0,Carer
94,94,0,1,1,1,1,4,8,3,3,9,7,3,2,1,0,No idea!,54,1,0,Carer
95,95,1,1,1,1,1,4,8,7,4,6,3,9,2,1,0,Really not sure!,49,0,0,
96,96,0,1,1,1,1,4,8,9,8,7,6,9,1,1,0,To see if I have a sense of humour,51,1,0,
97,97,1,1,1,1,1,4,3,2,0,7,5,8,7,1,0,To see how you would cope if you couldn't use your hands,48,0,0,Customer service advisor
98,98,0,1,1,1,1,4,4,0,2,6,4,7,7,1,0,To see if by using a different part of your body influences the way you use the pen effectively,49,0,0,Administrative officer
99,99,1,1,1,1,1,4,9,6,9,7,9,9,7,1,0,To acertain dexterity when holding pen in mouth,58,1,0,Photographer
100,100,0,1,1,1,1,4,5,5,6,8,7,8,4,1,0,To check the participant's patience and pleasure in undertaking the task,66,1,0,Retired local government officer
101,101,1,1,1,1,1,4,5,2,4,7,7,7,5,1,0,To see how I manage using a part of my body not normally used for a certain action,63,0,0,Library assistant
102,102,0,1,1,1,1,4,7,6,9,5,5,8,6,1,0,To see if I got annoyed by the tasks and find the cartoons less amusing,19,1,1,Psychology
103,103,1,0,0,0,0,0,5,4,5,4,6,4,3,1,0,To establish the dificulty impaired people have in their daily tasks.,89,1,0,Retired
104,104,0,1,1,1,1,4,5,3,5,5,3,6,4,1,0,I believe it's to see how long some people take. Perhaps perfectionists would take longer whereas lazy people would take less time.,18,0,1,Full time education
105,105,1,1,1,1,1,4,1,1,1,1,1,1,9,0,0,I think the purpose of this experiment is to see how people react doing different things and the way they deal with things,18,1,1,Full time education
106,106,0,1,1,1,1,4,6,5,9,7,6,8,6,1,0,To find out whether I could use the pen in my mouth to a degree of accuracy,58,1,0,Clerical
107,107,1,0,0,0,0,0,8,5,4,6,5,6,7,1,0,To see how people perform tasks when asked to write in a different way,18,0,1,Natural sciences
108,108,1,1,1,1,1,4,7,4,6,8,4,5,7,1,0,To test how easy it is to adapt to a new way of doing a usual task and whether you can still concentrate and think about other activities at the same time,21,1,1,Natural sciences
109,109,0,1,1,1,1,4,3,4,5,4,4,5,6,0,1,I think it may be *illegible* of the facial expression. And the comics that affect your feelings or emotions eg. smiling ,20,1,1,Psychology
121,121,0,1,1,1,1,4,7,3,1,4,6,9,6,1,0,to see if I would still use the pen as told even on my own,21,1,1,Geography
122,122,1,1,0,1,1,3,7,7,3,4,2,4,4,1,0,to see if I could draw with my mouth which I normally don’t use to draw,20,0,1,Marketing
123,123,0,1,1,1,1,4,5,5,1,3,0,4,7,1,0,to see whether different moods (third task) had any bearing on performing a task Im not used to,21,1,1,English Language
124,124,1,1,1,1,1,4,7,3,1,3,3,5,7,1,0,to test whether being physically impaired affects ones enjoyment of humorous/entertaining stimulus,20,1,1,English Language
125,125,0,0,0,1,0,1,6,7,3,5,1,7,4,1,0,to understand the effectiveness of writing using your mouth and the affect that this has on peoples wellbeing,24,0,1,Linguistics and Mandarin
126,126,1,0,0,0,0,0,2,2,6,4,2,6,7,1,0,to discern the efficacy of this particular technique as an alternate form of communication for disabled people e.g. someone experiencing paralysis as a result of spinal injury,24,1,1,Biomedical Science
127,127,0,1,1,1,1,4,6,5,4,7,3,8,6,1,0,to see how well people who are unable to use their hands to write can function at answering and understand tasks when using another means of writing,20,1,1,Geography
128,128,1,1,1,1,1,4,8,7,6,6,4,8,3,1,0,interpret and experience what it feels like for disabled people who don’t have limbs to write for a person who does have the ability to write,20,0,1,Geography
129,129,0,1,1,1,1,4,9,2,0,9,0,2,5,1,0,film someone being silly with a pen in their mouth,23,1,1,Mechanical Engineering
130,130,1,1,1,1,1,4,6,3,2,4,4,4,5,1,0,to see how well people perform doing certain tasks with different parts of their body they wouldn’t normally use for those tasks and find out how the ability to use these unusual parts of the body for the task will develop,18,0,1,International Law
131,131,0,1,1,1,1,4,9,9,2,6,0,5,2,1,0,the purpose of the experiment is to test the patience and adaptability of the person taking it to see how they ract using certain things,18,0,1,English Literature and Creative Writing
132,132,1,1,1,1,1,4,7,8,1,7,1,2,3,1,0,"to asses the ability of the bit of your brain that understands humour and see if it is affected by doing other tasks simultaneously, processing information maybe",18,0,1,Biological Science
133,133,0,1,0,1,1,3,9,6,2,6,0,7,1,1,0,to develop new ways for impaired people to carry out normal writing tasks,20,0,1,Ecology
134,134,1,1,1,1,1,4,4,5,3,6,5,6,5,1,0,to establish the possibility of developing products disabled people can operate using their mouths,20,0,1,Accountancy
135,135,0,1,1,1,1,4,3,3,2,3,3,7,2,1,0,the purpose of this experiment is to access the psychological status (how theyre feeling) of the individual who uses part of their body to do some simple tasks or tasks that are on the daily basis (that they don’t normally use),21,0,1,Biomedical Science
136,136,1,1,1,1,1,4,4,2,7,2,6,7,8,1,0,"the purpose of this study was to evaluate ones ability to perform actions unusual to daily life. The cartoons provided insight to intellectual ability (understand the context) and sense of humour. These insights allow the study of correlation between mood and intellect to ease performance and level of ability in the pen-in-mouth exercise. Though, I feel it may have been useful to perform the activity again after reading the cartoons to see if that ellicited a change in functionality",21,0,1,Molecular Biology and Neuroscience
137,137,0,1,1,1,1,4,9,8,6,6,8,7,0,1,0,to see if the participant works better using a pen in thie mouth with different emotions (eg more relaxed),21,0,1,Geography
138,138,1,0,0,0,0,0,8,6,2,4,3,2,3,1,0,to see how quickly people adopt to a situation post-stress and adopt to new ways of doing things,20,0,1,Geography
139,139,0,1,1,1,1,4,5,1,2,4,1,2,7,1,0,to test peoples modd/responses following a difficult and un-natural task,20,1,1,Geography
140,140,1,1,1,0,1,3,8,3,3,7,3,6,4,0,0,to see what demographic do everything properly and which try to find a trick around it? For example keep pen still and move paper,21,1,1,Computer Science
141,141,0,1,1,1,1,4,7,5,5,7,2,5,7,1,0,to see if the different tasks made it easier for you to use the pen in your mouth. More concentration if tasks better you could write with the pen,19,0,1,Psychology
142,142,1,1,0,1,1,3,7,8,1,4,0,5,3,0,0,to see how successfully people can use a pen/perform activities with the use of a limb/body part which they are not accustomed to using. Also to gauge people emotional response to these activities,21,0,1,Fine Art
143,143,0,1,1,1,0,3,6,7,6,2,6,1,5,1,0,to see how motor skills are affected by changing of the mood of the person,21,1,1,Computer Science
144,144,1,1,1,1,1,4,6,4,3,5,2,4,7,1,0,the purpose of this experiment is to see how difficult/easy tasks are when not doing tasks in their usual way,21,0,0,Documentation Apprentice
145,145,0,1,1,1,1,4,9,4,7,6,3,6,2,1,0,to predict the effect of humour on psychomotoric control,20,0,1,German with psychology
146,146,1,1,1,1,1,4,2,1,5,6,1,3,3,1,0,how well people can follow instructions when they know they are being filmed - but are faced with difficult tasks,20,0,1,Geography
147,147,0,0,1,1,1,3,6,1,2,7,1,7,7,1,0,to measure the reaction time of people with something in their mouth,21,1,0,media officer
148,148,1,1,1,1,1,4,4,3,3,5,3,5,7,0,0,to see if there is any correlation between ability and personality,19,0,1,Physical Education
149,149,0,1,1,1,1,4,5,6,2,2,6,2,6,1,0,if the more participants struggle the less amused they feel,26,0,0,Administration
150,150,1,1,1,1,1,4,8,3,1,8,1,6,3,1,0,"see how well developed our motor skills are without hands, see how may be for a person with neuro/motor problems and see how well we can follow instruction",21,0,1,Medicine and Surgery
151,151,0,1,0,1,0,2,7,7,5,6,6,6,3,1,0,"the purpose is to find alternate ways to express something whether it be in writing, speed etc. because some people have disabilities and other ailments that make it hard for them to express normally so using alternate methods would be ideal",21,1,1,Computer Science
152,152,1,0,1,1,1,3,7,8,3,6,3,5,3,1,0,the purpose is to see how doing daily chores using ways that aren't normal can effect our emotions and concentration on the tasks,18,0,1,psychology
153,153,0,1,1,1,1,4,7,7,2,3,1,2,3,1,0,left blank,18,1,1,psychology
154,154,1,1,1,1,1,4,5,2,3,4,1,7,9,1,0,to see if participants are more/less amused by cartoons whilst holding pen in their mouth,18,1,1,Psychology
155,155,0,1,1,1,1,4,8,5,3,6,1,6,2,1,0,to see correlations between personality and their ability to use alternative methods of completing every day tasks,18,0,1,psychology
156,156,1,1,1,1,1,4,9,6,3,4,4,4,5,1,0,the purpose of the experiment is to see how well our brains can use other parts of our body to write with and adjust to different ways of doing so,19,0,1,psychology
157,157,0,1,1,1,1,4,4,5,7,6,4,7,4,1,0,the purpose of the study was to determine whether we can hold the pen in a comfortable way in the same way as using our hand when drawing the lines on the paper,20,0,1,psychology
161,161,1,1,1,1,1,4,9,5,5,4,3,8,7,1,0,"To better understand the difficulties and challenges linked to using 'unusual' body parts for trivial, everyday thing",21,0,1,English Literature
162,162,0,1,1,1,1,4,4,5,6,7,4,5,7,1,0,"Study how people can adapt their behaviour to a current situation. Since disabled people can adapt quite successfully with practice, this study is to measure accuracy, speed and difficuly in non-disabled people with no prior practice to the used method of writing",19,1,1,Psychology
163,163,1,1,1,1,1,4,7,5,7,8,3,2,6,1,0,To study the difficulty of writing with mouth,22,0,1,Biochemistry
164,164,0,0,0,0,0,0,1,2,1,4,5,7,5,1,0,To determine a cheap alternative way to write in order to help people with disabilities,19,1,1,Management
165,165,1,1,1,1,1,4,8,5,1,3,3,1,4,1,0,Motor coordination - How changing physical capabilities can alter how you take in and compute information,20,0,1,Fine Art
166,166,0,1,1,1,1,4,7,5,3,7,8,8,8,1,0,See how we use… unnatural parts of the body,18,1,1,Psychology
167,167,0,1,1,1,1,4,6,3,4,6,4,5,8,1,0,"To investigate whether the sense of humor is influenced by the distraction of holding the pen with my mouth, not my hands ",19,0,1,Psychology and Linguistics
168,168,1,1,1,1,1,4,9,7,7,8,7,3,3,1,0,Exact story as cover story,51,0,0,Registered Childminder
169,169,0,1,1,1,1,4,0,0,6,6,8,9,7,1,0,Performing a mundane task in an awkawrd manner would affect co-ordinabce and speed of the task,51,1,0,Computer Programmer
170,170,1,0,0,0,0,0,8,6,7,5,3,6,7,1,0,To understand mechanisms of alternative methods of communication (i.e. writing) for those unable to use their hands,26,0,0,Solicitor's Assisstant
171,171,0,1,1,1,1,4,3,3,0,9,4,0,7,1,0,To help people with disabilities in life,53,0,0,Housewife
172,172,1,1,1,1,1,4,5,3,7,8,5,4,7,1,0,To see how it is to be impaired and how difficult it can be for people,29,1,0,Lorry Driver
173,173,0,1,1,1,1,4,6,7,6,4,8,2,3,1,0,"See how well people who don't write like this normally, can write, then they can compare it to those who do write like this and compare the similarities and differences",18,0,1,Student
174,174,1,1,1,1,1,4,5,3,7,7,2,8,5,1,0,Testing our ability to control movement when amused vs. not amused where the type of movement is not normally used,19,0,1,Biomedicine
175,175,0,1,1,1,1,4,6,5,4,8,4,6,4,1,0,To see if mood affects how hard we will try at a task,20,0,1,Natural Sciences
176,176,1,1,1,1,1,4,2,0,7,6,4,7,9,1,0,See how emotion affects how I control the pen to do a simple task,21,1,1,Biomedicine
177,177,0,1,1,1,1,4,7,6,3,7,0,9,6,1,0,To observe ability of people (who are able to use their hands) with tasks that people who arent able to use their hands do on a daily basis and compare the two,18,0,1,Psychology and German
178,178,1,1,1,1,1,4,7,6,2,2,4,2,6,1,0,To see how you perform in tasks that you would not normally carry out and whether getting recorded by the camera affects performance,19,0,1,Psychology
179,179,1,1,1,1,1,4,7,2,0,3,3,5,6,1,0,To test how people's ability to write with unusual parts of the body is linked to their sense of humor,19,0,1,Psychology and Organisation studies
180,180,0,1,1,1,1,4,6,4,7,8,6,8,8,1,1,"The cartoon part may be the effect that your expression has on how funny you find things, as holding a pen in your mouth forces you not to smile when you read the cartoon",18,0,1,Psychology
181,181,1,1,1,1,1,4,8,6,2,4,3,6,6,1,0,To see how well different people can use alternative ways to carry out tasks that compensate for loss of particular features and how people react,19,0,1,Psychology
182,182,0,1,1,1,1,4,5,4,2,6,1,4,1,1,0,Co-ordination of different body parts,19,0,1,Psychology
183,183,1,1,1,1,1,4,5,4,6,6,2,7,9,1,0,"To assess tbe ability to follow instructions of an unfamiliar task when performing an action with a body part which isnt typically used for this function, and how successful we are",18,0,1,Psychology and Sociology
184,184,0,1,1,1,1,4,7,4,4,0,0,3,8,1,0,I am unsure,19,0,1,Psychology
185,185,1,1,0,0,1,2,8,1,2,6,2,7,3,0,0,About psychomotor. To know how disabled works and their ability to do normal activities,19,0,1,Psychology
186,186,0,1,1,1,1,4,3,5,2,7,0,5,6,0,0,No answer,19,0,1,Psychology
187,187,1,1,1,1,1,4,8,4,5,7,3,2,5,1,0,"The effect of increasing mental stimulation requiring more thought on motor control ie. the more thought something has, the lower your ability to perform motor functions. Further, how this would impact on people with disabilities",19,0,1,Psychology
