subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
51,51,0,1,1,1,1,4,4,5,0,4,2,5,2,1,0,De onderzoek kan mensen helpen die een fysiek handicap hebben. Deze studie kan er misschien voor zorgen de er meer middelen gemaakt worden voor mensen met een handicap.,18,0,1,Agogische wetenschappen
52,52,1,1,1,1,1,4,5,2,4,6,1,3,3,1,0,"Het doel van het onderzoek is te ontdekken of bepaalde taken uit het dagelijkse leven uitgevoerd kunnen worden door andere delen van ons lichaam als die delen die we gewoon zijn te gebruiken, hier schrijven met onze tanden",19,0,1,Psychologie
53,53,0,1,1,1,1,4,7,4,1,4,3,3,3,0,0,Mensen proberen aan te tonen dat dotse of onverwachte aanpaminq (vb. Het verliezen van een ledemaat) zeker niet gemakkelijk is. Het lichaam heeft tijd nodig om de nieuwe soorten handelingen aan te leren,18,0,1,Sociologie
54,54,1,1,1,1,1,4,8,5,3,6,6,7,8,1,0,Hoe men de pennen zou kunnen aanpassen om ze zo goed mogelijk te kunnen gebruiken om met de mond te schrijven. Ook zou men hunnen kijken naar manieren om het comfort te optimaliseren.,17,0,1,Psychologie
55,55,0,0,1,1,1,3,2,2,7,3,2,7,6,1,0,Het doel van dit onderzoek is meten hoe bereid mensen zijn om er als een dwaas uit te zien voor wetenschappelijke doeleinden,18,1,0,Psychologie
56,56,1,1,1,1,1,4,5,6,4,6,7,2,6,1,1,Dit onderzoek zocht volgens mij naar de invloed van de houding van de pen op emoties omdat je als je je mond zo houdt een beweging maakt die erg lijkt op lachten ,19,1,0,Psychologie
57,57,0,0,0,0,0,0,8,5,4,6,8,8,1,1,0,Hoe mensen met een fysieke beperking er toch in zouden kunnen slagen om dagelijkse dingen uit te voeren. In dit onderzoek werd schrijven met je mond belicht voor mensen die geen handen meer hebben of ze meer kunnen gebruiken,18,0,1,Psychologie
58,58,1,1,1,1,1,4,7,5,8,9,7,9,5,1,0,Als men een opdracht moeten uitvoeren dan gebruikt men onze handen die worden gecontroleerd door onze hemisferen in ons hersenen. Nu ipv onze handen hebben we ons mond gebruikt. Misschien om na te gaan welke delen van ons hersenen gaan werken bij het werken met onze mond ipv onze handen,18,0,1,Psychologie
59,59,0,1,1,1,1,4,6,7,2,4,3,5,4,0,0,Of hersenen kunnen functioneren (andere taken uitvoeren) wanneer je een taak krijgt dat veel inspanning vraagt en vaak concentratie.,18,0,1,Psychologie
60,60,1,1,1,1,1,4,6,7,3,6,0,1,6,0,0,Kijken of mensen met een fysieke handicap toch nog kunnen schrijven en tegelijkertijd zich kunnen concentreren op zaken die ze moeten lezen bijvoorbeeld (dat ze niet teveel moeten focussen op het schrijven met de pen in de mond maar dat ze ook hun aandacht kunnen leggen op het begrijpen van de cartoons. ,19,1,1,Psychologie
61,61,0,1,1,1,1,4,6,7,3,7,3,5,6,1,0,Ik denk dat het doel van het onderzoek is om te kijken hoe mensen zonder fysieke beperking deze taken uitvoeren en dit dan verder te trekken naar mensen met een fysieke beperking en hen (verbeterde) hulpmiddelen te kunnen bieden om hun dagelijks leven te vergemakkelijken.,20,0,1,Agogische wetenschappen
62,62,1,0,0,0,0,0,3,4,2,3,3,4,5,0,0,Mensen aantonen hoe moeilijk het is om bepaalde motorische taken uit te voeren met beperkingen. Mensen tot het besef laten komen dat ze dankbaar moeten zijn voor wat ze hebben. Manieren vinden om mensen met beperkingen te helpen om een 'normaal leven te leiden.,20,0,1,Psychologie
63,63,0,1,1,1,1,4,6,6,4,2,0,6,6,1,0,Het vermogen van mensen om motorische taken te vervullen zonder de lichaamsdelen die we daar 'gewoonlijk' voor zouden gebruiken.,18,0,1,Politieke wetenschappen
64,64,1,1,1,1,1,4,5,6,3,4,2,2,3,1,0,Nagaan of mensen andere lichaamsdelen (mond) kunnen gebruiken om te schrijven + eventueel kijken op er evolutie is bv. We moesten elke keer omcirkelen/aanduiden wat we van de opdracht vonden.,21,0,1,Schakelprogramma onderwyskunde
65,65,0,1,1,1,1,4,6,5,7,4,3,4,5,1,0,Volgens mij is het de bedoeling om te kijken in hoe verre we ons moeten concentreren op het vast houden van de pen en in welke mate we ons nog kunnen concentreren op andere taken.,18,0,1,Psychologie
66,66,1,1,1,1,1,4,4,3,7,7,4,3,3,1,0,"Nagaan hoe het geheugen werkt of reageert wanneer je bepaalde handelingen, die je normaal gezien zonder nadenken uitvoert, nu ineens op een andere manier moet uitoefenen. Wat is het effect hiervan op het geheugen?",33,0,1,Wijnbegeerte en moraalwetenschappen
67,67,0,1,1,1,1,4,8,6,4,7,3,7,2,1,0,Zien of het mogelijk is om een systeem te vinden voor mensen met een handicap zodat ze toch een zo gemakkelijk mogelijke manier hebben om te leven,18,0,1,Psychologie
68,68,1,1,1,1,1,4,5,1,3,3,3,8,6,1,0,Het doel van dit onderzoek is achterhalen op welke manier men handelingen kan uitvoeren die normaal met de handen gebeuren,19,0,1,Psychologie
69,69,0,1,1,1,1,4,7,3,2,7,2,9,5,1,0,"Aan te tonen hoe nauwkeurig je kunt tekenen met mond, dit zal ook de samenwerking tussen de ogen en de mond aantonen, denk ik -> mond voert taken niet uit zoals we ze willen 'verwarrend om naar te kijken)",18,0,1,Psychologie
70,70,1,1,1,1,1,4,8,5,8,3,8,7,5,1,0,"Om betere technieken te ontwikkelen voor mensen zonder handen/armen, zodat deze beter kunnen functioneren in onze maatschappij",19,0,1,Psychologie
71,71,0,1,1,1,1,4,7,6,5,6,4,4,4,1,0,Geen idee,18,0,1,Psychologie
72,72,1,1,1,0,1,3,7,6,4,4,5,3,4,1,0,Onderzoek naar hoe mensen cartoons interpreten en hierop reageren,18,1,1,Psychologie
73,73,0,1,1,1,1,4,9,9,5,5,0,0,0,1,0,"Onderzoek om na te gaan hoe mensen een vaardigheid als schrijven met een ander lichaamsdeel uit voeren dan met een hand, nl. Met de mond. Of misschien wat het uitvoeren v/e moeilijk en onaangename taak voor effect heeft op het gemoed of de belering van mensen?",34,0,1,Psychologie
74,74,1,1,1,1,1,4,7,6,1,4,0,6,6,1,0,Dit onderzoek heeft als doel om nieuwe technologieën en technieken uit te vinden voor mensen die bepaalde lichaamsdelen missen maar toch graag bepaalde dingen willen doen die normaal bestand zijn voor deze lichaamsdelen (bv. Tekenen met de mond),18,1,1,Sociologie
75,75,0,1,1,1,1,4,7,8,6,4,4,4,1,1,0,Testen van concentratie en coördineren van meerdere handelingen/bewegingen/functies tegelijk,19,0,1,Psychologie
76,76,1,1,1,1,1,4,7,5,5,7,2,7,2,1,0,Onderzoek doen naar hoe ons lichaam zich kan aanpassen (taken vervullen die een bepaald lichaamsdeel normaal niet moet vervullen) en in welke mate om ze mensen met een handicap te kunnen helpen,18,0,1,Psychologie
77,77,0,1,1,1,1,4,5,6,7,6,8,7,3,1,0,Het heeft als doel na te gaan hoe mensen die met een beperking andere lichaamsdelen gebruiken om het beperkte lichaamsdeel te vervangen. Zo zouden we misschien een technologisch instrument kunnen opbouwen om ze te kunnen helpen,18,0,1,Psychologie
78,78,1,1,1,1,1,4,4,3,4,3,5,5,5,1,0,Om mensen te helpen,20,1,1,Geschiedenis
79,79,0,1,1,1,1,4,1,0,0,7,7,2,6,1,0,"Een beeld proberen te ontwikkelen over hoe mensen met een motorische handicap zich behelpen met andere ledematen, om zo nieuwe hulptechnologie te kunnen ontwikkelen ",19,0,1,Agogische wetenschappen
80,80,1,1,1,1,1,4,6,6,2,4,4,6,3,1,0,Het doel van het experiment is het achterhalen of we als we heel geconcentreerd zijn met iets of we wat we te zien krijgen (vb: cartoons) kunnen verwerken,18,0,1,Psychologie
81,81,0,0,0,0,0,0,8,9,5,7,2,8,3,1,0,Mensen met een handicap zijn het gewoon om bijvoorbeeld hun mond et gebruiken in plaats van hun handen om te schrijven of tekenen. Mensen zoals ik hebben dit tot nu toe nooit getest en het is dus om te bestuderen of mensen het leren van deze methode snel door hebben,18,0,1,Psychologie
82,82,1,1,1,1,1,4,7,5,1,4,1,2,4,1,0,Nagaan of bij verlamde mensen een besturingssysteem met gebruik v/d tanden handig zou zijn,18,0,1,Psychologie
83,83,0,1,1,1,1,4,5,2,6,4,5,7,6,1,0,"Ze willen testen hoe snel een proefpersoon het onder de unie kan krijgen om de pen in je mond op de juiste positie vast te houden. Dit onderzoek is gericht op mensen die hun armen zijn verloren, maar nog steeds willen kunnen schrijven. Dit is de goedkope oplossing en deze wordt nu onderzocht",17,0,1,Psychologie
84,84,1,1,1,1,1,4,5,2,1,3,5,7,5,1,0,"Door het feit dat we gefilmd zijn, om te zien of we de balpen inderdaad wel goed gebruiken zoals gegeven in de instructies, denk ik dat het doel is om te zien of de mensen wel iets kunnen uitvoeren die abnormaal is (we schrijven met onze handen, niet onze mond)  en hoe de mensen het ook zullen doen (goed of slecht) terwijl dat als proefpersoon, we denken dat het voor mensen zijn die een handicap hebben",19,0,1,Psychologie
85,85,0,0,0,0,0,0,9,9,5,6,8,2,6,1,0,Tonen hoe moeilijk het is om een pen in je mond te houden en zo te schrijven/tekenen,18,0,1,Psychologie
86,86,1,1,0,1,1,3,9,4,5,8,1,9,7,1,0,Na gaan hoe moeilijk het voor mensen is met een beperking bv geen handen om makkelijke handelingen uit te voeren i.v.m. het tilden van opties (schriftelijk),22,1,1,Psychologie
87,87,0,1,1,1,1,4,2,2,5,3,2,6,6,1,0,Ik denk dat ze met dit onderzoek willen achterhalen hoe we kunnen werken met andere lichaamsdelen die we niet hebben 'getraind' om deze taken te doen,19,0,1,Psychologie
88,88,1,1,1,1,1,4,9,4,1,3,0,1,3,0,0,"Testen hoe lang een mens gemiddeld zijn mond kan gebruiken om er dingen mee uit te voeren. Hiernaast ook hoe ons denkvermogen tijdens het uitvoeren van een opdracht (met de mond) is. Dit zijn logische opdrachten, maar omdat het niet makkelijk is met de mond, wordt je concentratie getest? ",19,0,1,Psychologie
89,89,0,1,1,1,1,4,8,7,1,7,1,6,6,1,0,Kijken of het aangeboren of aangeleerd is wat mindervaliden doen. Mensen die kunnen schrijven met hun mond hebben van de geboorte deze speciale gave of kan ander wie dit leren,19,0,1,Psychologie
90,90,1,1,1,1,1,4,7,5,4,6,3,6,6,1,0,Kijken hoe men eventueel andere delen van ons lichaam kunnen gebruiken om bepaalde taken uit te voeren. Zo kunnen mensen met een handicap… andere lichaamsdelen gebruiken voor de taken die ze nu niet kunnen uitvoeren,18,0,1,Psychologie
91,91,0,1,1,1,1,4,2,3,2,3,3,4,5,1,0,De belekenis v/d mondebewegingen,20,0,1,Psychologie
92,92,1,1,1,1,1,4,6,5,3,3,3,7,3,1,0,"Ik denk dat men op basis van dit onderzoek nieuwe manieren wil ontdekken om taken uit te voeren voor mensen die het op de meest uitgevoerde manier niet meer kunnen. In dit geval: schrijven, aanduiden met mond (tanden) ipv. Handen",18,0,1,Psychologie
93,93,0,1,1,1,1,4,4,7,6,2,3,6,3,1,1,Of mensen cartoons ook grappig vinden als hun mond moeilijker kan (glim)lachen. Het heeft dus te maken met emoties en gedrag.,18,0,1,Psychologie
94,94,1,1,1,1,1,4,6,3,6,3,2,3,8,0,0,"Het doel van dit experiment is het vervangen van de handen voor motorische taken door andere lichaamsdelen. Dus als mensen een bepaalde handicap hebben, waardoor ze hun handen niet kunnen gebruiken, zouden ze toch kunnen leren om andere lichaamsdelen te gebruiken om taken uit te voeren",24,0,1,Psychologie
95,95,0,1,1,1,1,4,7,6,6,4,2,6,6,1,0,Om te onderzoeken hoe moeilijk het is om zo psychomotorische taken uit te voeren en eventueel op basis van de resultaten nieuwe of betere technieken te vinden.,18,1,1,Psychologie
96,96,1,0,1,1,1,3,6,7,6,7,3,7,7,1,0,"Men tracht te onderzoeken hoe het is om motorische handelingen te verrichten die niet alledaags zijn. Zo wordt via onderzoek hopelijk duidelijk gemaakt hoe mensen die genoodzaakt zijn om zulke motorische handelingen uit te voeren, reageren en hoe we hun leven kunnen vergemakkelijken. ",18,1,1,Psychologie
97,97,0,1,1,1,1,4,6,6,7,4,5,3,6,1,0,Om de evolutie te zien tussen de eerste keer dat men de pen op deze manier gebruikt en de laatste,19,0,1,Psychologie
98,98,1,1,1,1,1,4,7,2,5,7,1,5,4,1,0,Testen hoe goed wij in staat  zijn bepaalde taken met verschillende lichaamsdelen uit te voeren,18,0,1,Psychologie
99,99,0,1,1,1,1,4,5,4,8,5,2,7,6,1,1,Bij de eerste oefeningen gaat het vooral om het inoefenen. Bij de cartoons proberen ze te achterhalen of de manier waarop we reageren (bij lachen zijn dit andere mondspieren als bij andere emoties) te koppelen aan hoe we schrijven (a.h.v. de spieren),17,0,1,Psychologie
100,100,1,1,1,1,1,4,7,6,1,3,2,5,4,1,0,"Om manieren te zoeken om het mogelijk te maken voor mensen die geen mogelijkheid hebben om met hun handen te werken, dat ze toch bepaalde  taken kunnen uitvoeren. En om te zien in hoeverre het mogelijk is om deze taken uit te voeren.",17,0,1,Psychologie
101,101,0,1,1,1,1,4,6,5,7,7,4,5,2,1,0,Motorieke ontwikkeling en is deze verschillend van mensen met handicap (die deze spieren vaker gebruiken),18,0,1,Agogische wetenschappen
102,102,1,1,1,1,1,4,8,4,2,1,5,2,4,1,0,Opzoek gaan naar motorische vaardigheden van mensen bij dingen die simpel zijn zoals we ze kennen en het effect als we diezelfde taken laten uitvoeren met lichaamsdelen die we er nooit voor gebruiken.,18,0,1,Psychologie
103,103,0,0,0,0,0,0,8,8,6,7,6,7,2,1,0,"Moeilijkheidsgraad onderzoeken andere mogelijkheden dan we gewoon zijn, mond ipv handen, zelfredzaamheid onderzoeken",63,1,1,Sociologie
104,104,1,1,1,1,1,4,7,7,6,6,6,5,4,0,0,Ik denk dat men probeert te onderzoeken op welke manier je het best kan schrijven met een pen in je mond.,17,0,1,Psychologie
105,105,0,1,1,1,1,4,4,5,1,3,7,8,2,1,0,Ik denk dat het doel van dit onderzoek is te kijken of we ook spullen met de mond kunnen maken voor wat de houd liferlijk niet er is bv ouderschiepen etc.,20,0,1,Psychologie
106,106,1,1,1,1,1,4,5,7,5,6,7,6,7,1,0,De capaciteit onderzoeken naar hoe mensen met een mogelijke beperking toch nog alledaagse simpele handelingen kunnen uitvoeren met andere lichaamsdelen,18,0,1,Psychologie
107,107,0,0,0,0,0,0,3,1,0,7,3,8,6,1,0,Om te begrijpen hoe een persoon met een handicap bv. zonder handen zich voelt en hoe hij dan in die situaties waar hij zijn/haar handen nodig heeft zijn/haar mond of andere lichaamsdelen gebruikt.,18,0,1,Sociologie
108,108,1,1,1,1,1,4,5,3,1,3,1,0,5,1,0,Onderzoeken of we kunnen focussen op zowel de taak als op de juiste houding.,19,0,1,Psychologie
109,109,0,1,1,1,1,4,3,2,2,8,6,7,5,1,0,"Het doel van die onderzoek is volgens mij na te gaan in welke mate het mogelijk is om met bepaalde delen van ons lichaam, die oorspronkelijk niet daarvoor gemaakt zijn, te communiceren. In dit geval was het met een pen in de mond.",18,0,1,Psychologie
