subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
120,120,1,1,1,1,1,4,6,5,7,8,5,7,8,1,0,Using a body part you would not normally use to complete simple tasks to learn how long it might possibly take for someone's body to get used to it and perform the task well.,18,0,1,Criminology and Criminal Justice
121,121,0,1,1,1,1,4,6,2,8,9,8,9,7,1,0,To test use of a pen while holding it in your mouth.,67,1,1,Communications
122,122,1,0,1,1,1,3,5,6,4,7,4,3,8,1,0,"To see the various ways an alteration to someone's life can affect them and how to improve this with technology. To discover how humans react to a stimulus or alteration in their life to see how they would adjust to this alteration. Also, to make technology for this purpose and to see how to design the best and most efficient technology for those in need. ",17,0,1,Criminology
123,123,0,1,1,1,1,4,8,,6,,4,7,7,1,0,To see if humans can do basic things without hands or to see whether we can use are brain to do simple tasks but in a different manner. ,18,1,1,Criminology and Criminal Justice
124,124,1,1,1,1,1,4,7,3,3,7,0,1,6,1,0,To see the ability of people using different body parts to complete a set of tasks. The purpose of the experiment was to see how well I can complete 4 task while holding a pen in my mouth. Also to see how well I can understand what is being ask of me. ,18,1,1,Commerce
125,125,0,1,1,1,1,4,7,6,6,8,2,6,6,1,0,"To understand if someone would be able to do certain tasks, such as writting, with their mouth. Someone with a disability and is unable to use their amrs may benefit from a study such as this one as they may not want to pay for expensive equipment to to such things for them. ",18,0,1,Ciminology/ Criminal Justice
126,126,1,1,1,1,1,4,6,3,5,6,2,7,6,1,0,to see if people are still coordinated in their movements when using a part of the body they don't usually use,17,0,1,Undergraduate Criminology
127,127,0,1,1,1,1,4,5,6,4,4,2,6,3,1,0,To show the struggles that people with certain disabilities go through on a daily basis. ,18,0,1,Commerce
128,128,1,1,1,1,1,4,6,6,5,5,5,5,5,0,0,"Some disabled people, they cannot experience convience. For example, people who lost their hands can only use their mouth or feer to hold something. I believe this experiment is trying to remind us that we should be grateful to our health lives.",18,0,1,Economics
129,129,0,1,1,1,1,4,7,3,7,7,5,8,9,1,0,"I believe that the experiment was conducted to test how people who don't have physical disabilities, like missing limbs, do tasks under conditions that they usually don't have to perform under.",19,1,1,Commerce
130,130,1,1,1,1,1,4,5,3,4,5,4,5,8,1,0,To know the facial acts. To know people's facial acts. mouth acts,18,0,1,Accounting
131,131,0,1,1,1,1,4,4,3,9,5,6,8,6,1,0,I think it is about concentration of another individual. To see if the person who was holding the pen was concentrated on the various tasks or if he/she was concentrated on trying to keep the pen away from his/her teeth and the mouth. It could also be to see if the participant could concentrate on only one or various tasks. ,17,0,1,Cognitive Science
132,132,1,1,1,1,1,4,7,2,7,7,3,8,2,1,0,To see a person's ability to do a simple task in a difficult way. To see how hard it would be if a person had to always complete the task in that way. ,17,0,1,Child Studies
