gender,field,level,sentiment,intention,left,month,Male,Low,Medium,Finance,Health,Law,Public/Government,Sales/Marketing
F,Public/Government,Medium,9,1,0,12,False,False,True,False,False,False,True,False
F,Finance,Low,7,4,1,11,False,True,False,True,False,False,False,False
F,Public/Government,Medium,10,4,0,12,False,False,True,False,False,False,True,False
F,Public/Government,Low,8,3,0,12,False,True,False,False,False,False,True,False
F,Sales/Marketing,Low,8,3,0,12,False,True,False,False,False,False,False,True
F,Education and Training,Medium,7,5,0,1,False,False,True,False,False,False,False,False
F,Finance,Low,10,5,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,9,3,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Low,10,2,0,12,False,True,False,False,False,False,True,False
F,Law,Low,8,5,1,11,False,True,False,False,False,True,False,False
F,Education and Training,Low,9,6,1,6,False,True,False,False,False,False,False,False
F,Finance,Low,8,3,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Low,10,8,0,12,False,True,False,False,False,False,True,False
F,Education and Training,Low,9,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,4,7,1,5,False,False,True,True,False,False,False,False
F,Finance,Medium,9,4,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Low,9,4,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,8,7,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,5,4,0,4,False,True,False,False,False,False,False,False
F,Finance,Low,5,3,1,9,False,True,False,True,False,False,False,False
F,Education and Training,Medium,9,6,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,8,4,1,6,False,True,False,False,False,False,False,False
F,Education and Training,Medium,4,7,1,11,False,False,True,False,False,False,False,False
F,Sales/Marketing,Low,10,5,1,11,False,True,False,False,False,False,False,True
F,Education and Training,Low,10,3,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,7,5,1,4,False,True,False,False,False,False,False,True
F,Law,Low,4,7,1,11,False,True,False,False,False,True,False,False
F,Sales/Marketing,Low,8,7,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,8,2,0,12,False,True,False,True,False,False,False,False
F,Finance,Medium,8,10,1,7,False,False,True,True,False,False,False,False
F,Finance,Low,7,4,0,4,False,True,False,True,False,False,False,False
F,Finance,Low,8,2,0,4,False,True,False,True,False,False,False,False
F,Finance,Low,8,2,1,2,False,True,False,True,False,False,False,False
F,Public/Government,Low,7,2,1,5,False,True,False,False,False,False,True,False
F,Law,Low,8,6,0,12,False,True,False,False,False,True,False,False
F,Finance,Low,7,2,1,9,False,True,False,True,False,False,False,False
F,Education and Training,Medium,7,4,1,11,False,False,True,False,False,False,False,False
F,Law,Low,9,5,0,12,False,True,False,False,False,True,False,False
F,Public/Government,Low,8,3,1,6,False,True,False,False,False,False,True,False
F,Education and Training,Low,6,2,1,5,False,True,False,False,False,False,False,False
F,Law,Low,7,2,0,12,False,True,False,False,False,True,False,False
F,Law,Low,5,7,1,3,False,True,False,False,False,True,False,False
F,Education and Training,Low,8,5,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,3,7,1,1,False,False,True,False,False,False,False,False
F,Education and Training,Medium,7,5,0,12,False,False,True,False,False,False,False,False
F,Finance,Low,7,7,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,8,2,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,7,5,1,7,False,True,False,False,False,False,False,True
F,Finance,Low,7,5,0,1,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,4,1,11,False,True,False,False,False,False,False,False
F,Finance,Medium,10,3,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Medium,4,3,1,7,False,False,True,False,False,False,False,False
F,Education and Training,Low,10,3,1,4,False,True,False,False,False,False,False,False
F,Education and Training,High,10,1,0,12,False,False,False,False,False,False,False,False
F,Education and Training,Low,8,2,0,12,False,True,False,False,False,False,False,False
F,Public/Government,Low,7,3,0,1,False,True,False,False,False,False,True,False
F,Education and Training,Medium,8,8,1,8,False,False,True,False,False,False,False,False
F,Finance,Low,2,5,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,7,3,1,11,False,True,False,False,False,False,False,True
F,Education and Training,Low,10,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,8,3,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,9,3,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,8,2,0,12,False,False,True,True,False,False,False,False
F,Public/Government,Low,7,6,1,12,False,True,False,False,False,False,True,False
F,Finance,Low,10,4,0,11,False,True,False,True,False,False,False,False
F,Public/Government,Low,6,1,1,6,False,True,False,False,False,False,True,False
F,Public/Government,Low,7,4,0,12,False,True,False,False,False,False,True,False
F,Law,Low,9,6,1,6,False,True,False,False,False,True,False,False
F,Education and Training,High,8,6,0,12,False,False,False,False,False,False,False,False
F,Finance,Medium,7,9,1,11,False,False,True,True,False,False,False,False
F,Finance,Medium,7,4,0,12,False,False,True,True,False,False,False,False
F,Public/Government,Low,7,8,1,5,False,True,False,False,False,False,True,False
F,Law,Low,3,8,1,5,False,True,False,False,False,True,False,False
F,Sales/Marketing,Medium,9,7,0,12,False,False,True,False,False,False,False,True
F,Finance,High,10,2,0,12,False,False,False,True,False,False,False,False
F,Finance,Low,10,3,1,5,False,True,False,True,False,False,False,False
F,Finance,Medium,9,4,0,12,False,False,True,True,False,False,False,False
F,Law,Low,10,3,0,12,False,True,False,False,False,True,False,False
F,Education and Training,Low,10,7,1,11,False,True,False,False,False,False,False,False
F,Finance,Low,7,4,1,6,False,True,False,True,False,False,False,False
F,Finance,Medium,8,4,1,6,False,False,True,True,False,False,False,False
F,Finance,Low,9,3,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Medium,5,7,1,5,False,False,True,False,False,False,False,False
F,Finance,High,7,7,1,12,False,False,False,True,False,False,False,False
F,Education and Training,Medium,8,4,0,12,False,False,True,False,False,False,False,False
F,Sales/Marketing,Low,7,4,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,7,5,1,7,False,True,False,True,False,False,False,False
F,Finance,Low,7,2,0,12,False,True,False,True,False,False,False,False
F,Law,Low,9,8,0,12,False,True,False,False,False,True,False,False
F,Education and Training,Low,6,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,9,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,7,2,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,7,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Medium,7,3,0,12,False,False,True,False,False,False,False,True
F,Law,Low,5,4,1,3,False,True,False,False,False,True,False,False
F,Health,Low,9,2,1,11,False,True,False,False,True,False,False,False
F,Education and Training,Medium,10,5,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,8,2,0,3,False,True,False,False,False,False,False,False
F,Education and Training,Low,9,2,1,10,False,True,False,False,False,False,False,False
F,Finance,Low,7,3,0,12,False,True,False,True,False,False,False,False
F,Health,Low,10,2,0,12,False,True,False,False,True,False,False,False
F,Finance,High,8,4,1,5,False,False,False,True,False,False,False,False
F,Sales/Marketing,Low,8,3,0,12,False,True,False,False,False,False,False,True
F,Finance,High,9,2,0,12,False,False,False,True,False,False,False,False
F,Education and Training,Low,7,6,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,3,8,0,1,False,False,True,True,False,False,False,False
F,Public/Government,Medium,7,5,0,7,False,False,True,False,False,False,True,False
F,Education and Training,Low,7,5,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,7,4,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,9,3,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,7,2,1,12,False,True,False,True,False,False,False,False
F,Education and Training,Medium,9,6,1,7,False,False,True,False,False,False,False,False
F,Finance,Low,7,6,1,9,False,True,False,True,False,False,False,False
F,Finance,Low,7,3,0,10,False,True,False,True,False,False,False,False
F,Finance,Low,8,6,1,6,False,True,False,True,False,False,False,False
F,Law,Low,2,9,1,2,False,True,False,False,False,True,False,False
F,Education and Training,High,8,5,0,8,False,False,False,False,False,False,False,False
F,Finance,Low,8,2,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,10,7,1,5,False,True,False,False,False,False,False,False
F,Finance,Low,9,4,0,1,False,True,False,True,False,False,False,False
F,Law,Low,6,7,0,12,False,True,False,False,False,True,False,False
F,Finance,Low,8,2,1,9,False,True,False,True,False,False,False,False
F,Finance,Low,8,2,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Medium,4,6,1,4,False,False,True,False,False,False,True,False
F,Education and Training,Low,7,7,0,12,False,True,False,False,False,False,False,False
F,Health,Low,7,5,1,6,False,True,False,False,True,False,False,False
F,Education and Training,Low,10,3,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,10,5,0,12,False,False,True,True,False,False,False,False
F,Public/Government,Low,7,6,1,6,False,True,False,False,False,False,True,False
F,Health,Low,8,3,1,3,False,True,False,False,True,False,False,False
F,Finance,Low,7,2,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,5,8,1,9,False,True,False,False,False,False,False,False
F,Education and Training,Medium,8,8,0,12,False,False,True,False,False,False,False,False
F,Finance,High,8,2,0,12,False,False,False,True,False,False,False,False
F,Public/Government,Medium,9,4,0,12,False,False,True,False,False,False,True,False
F,Public/Government,Low,8,2,0,12,False,True,False,False,False,False,True,False
F,Education and Training,Medium,7,4,0,12,False,False,True,False,False,False,False,False
F,Finance,Low,7,9,1,10,False,True,False,True,False,False,False,False
F,Public/Government,Low,10,3,0,12,False,True,False,False,False,False,True,False
F,Education and Training,Low,7,8,0,1,False,True,False,False,False,False,False,False
F,Finance,Low,8,3,0,12,False,True,False,True,False,False,False,False
F,Finance,Medium,8,6,0,12,False,False,True,True,False,False,False,False
F,Finance,Low,9,7,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,7,7,1,4,False,True,False,True,False,False,False,False
F,Health,Low,7,8,0,12,False,True,False,False,True,False,False,False
F,Education and Training,Low,7,5,0,11,False,True,False,False,False,False,False,False
F,Law,Low,8,5,1,12,False,True,False,False,False,True,False,False
F,Education and Training,Low,4,7,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,8,3,1,11,False,True,False,True,False,False,False,False
F,Finance,High,8,2,1,12,False,False,False,True,False,False,False,False
F,Finance,Low,7,4,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Medium,10,3,1,5,False,False,True,False,False,False,False,False
F,Finance,Low,7,6,1,9,False,True,False,True,False,False,False,False
F,Law,Low,8,2,1,11,False,True,False,False,False,True,False,False
F,Sales/Marketing,Low,9,5,0,12,False,True,False,False,False,False,False,True
F,Education and Training,Low,6,5,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,4,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,7,8,1,8,False,True,False,False,False,False,False,True
F,Finance,Low,7,5,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,7,6,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Low,9,6,0,12,False,True,False,False,False,False,True,False
F,Public/Government,Medium,7,4,1,6,False,False,True,False,False,False,True,False
F,Sales/Marketing,Low,9,6,0,12,False,True,False,False,False,False,False,True
F,Education and Training,Low,3,3,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Medium,6,7,0,12,False,False,True,False,False,False,False,True
F,Sales/Marketing,Low,7,6,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,8,8,1,7,False,True,False,True,False,False,False,False
F,Finance,Low,10,8,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Medium,10,6,1,1,False,False,True,False,False,False,False,True
F,Public/Government,Low,8,5,0,2,False,True,False,False,False,False,True,False
F,Education and Training,High,9,5,0,12,False,False,False,False,False,False,False,False
F,Education and Training,Medium,7,6,1,4,False,False,True,False,False,False,False,False
F,Education and Training,Low,6,6,0,11,False,True,False,False,False,False,False,False
F,Law,Low,7,7,0,12,False,True,False,False,False,True,False,False
F,Education and Training,Low,8,6,1,6,False,True,False,False,False,False,False,False
F,Sales/Marketing,High,2,8,1,11,False,False,False,False,False,False,False,True
F,Public/Government,Low,8,3,0,12,False,True,False,False,False,False,True,False
F,Health,Low,10,2,1,11,False,True,False,False,True,False,False,False
F,Sales/Marketing,Low,9,5,0,7,False,True,False,False,False,False,False,True
F,Education and Training,Low,6,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,6,0,2,False,True,False,False,False,False,False,False
F,Education and Training,Low,9,3,0,12,False,True,False,False,False,False,False,False
F,Health,Low,8,2,0,12,False,True,False,False,True,False,False,False
F,Law,Low,10,2,0,12,False,True,False,False,False,True,False,False
F,Health,Low,9,7,1,3,False,True,False,False,True,False,False,False
F,Public/Government,Low,8,3,0,12,False,True,False,False,False,False,True,False
F,Education and Training,Low,10,8,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,8,4,1,10,False,True,False,True,False,False,False,False
F,Education and Training,Medium,10,3,0,12,False,False,True,False,False,False,False,False
F,Public/Government,Low,2,5,1,5,False,True,False,False,False,False,True,False
F,Finance,Medium,5,8,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Low,7,7,0,3,False,True,False,False,False,False,False,False
F,Finance,Low,10,1,0,3,False,True,False,True,False,False,False,False
F,Education and Training,High,6,7,1,6,False,False,False,False,False,False,False,False
F,Sales/Marketing,Low,10,2,1,4,False,True,False,False,False,False,False,True
F,Finance,Low,8,1,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,7,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,7,7,0,12,False,False,True,True,False,False,False,False
F,Finance,Low,10,3,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Medium,7,6,1,10,False,False,True,False,False,False,False,True
F,Finance,Low,7,6,1,3,False,True,False,True,False,False,False,False
F,Education and Training,Low,6,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,4,7,0,7,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,1,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,8,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,8,5,0,12,False,False,True,False,False,False,False,False
F,Finance,Low,4,4,1,7,False,True,False,True,False,False,False,False
F,Education and Training,High,3,7,0,12,False,False,False,False,False,False,False,False
F,Public/Government,Low,8,3,1,4,False,True,False,False,False,False,True,False
F,Finance,Low,4,2,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Medium,8,7,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Medium,10,3,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,7,2,0,12,False,True,False,False,False,False,False,False
F,Law,Medium,8,3,0,12,False,False,True,False,False,True,False,False
F,Finance,Medium,10,3,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Low,10,1,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,10,5,0,12,False,False,True,False,False,False,False,False
F,Public/Government,High,2,6,0,7,False,False,False,False,False,False,True,False
F,Sales/Marketing,Low,7,5,1,8,False,True,False,False,False,False,False,True
F,Education and Training,Low,2,1,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,6,4,0,9,False,True,False,False,False,False,False,True
F,Public/Government,Low,7,4,0,12,False,True,False,False,False,False,True,False
F,Law,Low,8,6,1,2,False,True,False,False,False,True,False,False
F,Education and Training,Low,7,4,1,3,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,8,3,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Low,10,3,1,4,False,True,False,False,False,False,False,False
F,Finance,Low,8,2,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,7,4,1,8,False,True,False,False,False,False,False,True
F,Finance,Low,10,4,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,4,5,1,12,False,True,False,False,False,False,False,False
F,Finance,High,9,6,1,6,False,False,False,True,False,False,False,False
F,Education and Training,Medium,7,6,0,12,False,False,True,False,False,False,False,False
F,Finance,Medium,9,5,0,12,False,False,True,True,False,False,False,False
F,Sales/Marketing,Low,5,4,1,7,False,True,False,False,False,False,False,True
F,Finance,Medium,4,6,1,8,False,False,True,True,False,False,False,False
F,Sales/Marketing,Low,7,2,0,2,False,True,False,False,False,False,False,True
F,Finance,Low,7,4,1,12,False,True,False,True,False,False,False,False
F,Finance,Low,8,3,0,12,False,True,False,True,False,False,False,False
F,Finance,Low,10,6,1,9,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,3,1,10,False,True,False,False,False,False,False,False
F,Finance,Medium,8,4,0,12,False,False,True,True,False,False,False,False
F,Finance,Low,7,3,1,11,False,True,False,True,False,False,False,False
F,Law,Low,7,6,0,12,False,True,False,False,False,True,False,False
F,Education and Training,Low,8,5,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,8,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,4,8,1,7,False,True,False,True,False,False,False,False
F,Education and Training,Low,10,3,0,8,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,1,1,8,False,True,False,False,False,False,False,False
F,Finance,Low,10,1,1,10,False,True,False,True,False,False,False,False
F,Finance,High,9,2,0,12,False,False,False,True,False,False,False,False
F,Finance,Low,7,7,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,2,1,8,False,True,False,False,False,False,False,False
F,Finance,Low,10,1,0,12,False,True,False,True,False,False,False,False
