"state","eth","male","age","educ","n"
"AK","White",-0.5,"18-29","Some college",13753
"AK","White",-0.5,"18-29","4-Year College",5983
"AK","White",-0.5,"18-29","Post-grad",1315
"AK","White",-0.5,"30-39","No HS",473
"AK","White",-0.5,"30-39","HS",5017
"AK","White",-0.5,"30-39","Some college",11482
"AK","White",-0.5,"30-39","4-Year College",9247
"AK","White",-0.5,"30-39","Post-grad",5325
"AK","White",-0.5,"40-49","No HS",992
"AK","White",-0.5,"40-49","HS",4861
"AK","White",-0.5,"40-49","Some college",8662
"AK","White",-0.5,"40-49","4-Year College",6002
"AK","White",-0.5,"40-49","Post-grad",4790
"AK","White",-0.5,"50-59","No HS",1421
"AK","White",-0.5,"50-59","HS",7707
"AK","White",-0.5,"50-59","Some college",11248
"AK","White",-0.5,"50-59","4-Year College",6715
"AK","White",-0.5,"50-59","Post-grad",4798
"AK","White",-0.5,"60-69","No HS",894
"AK","White",-0.5,"60-69","HS",5890
"AK","White",-0.5,"60-69","Some college",8565
"AK","White",-0.5,"60-69","4-Year College",6597
"AK","White",-0.5,"60-69","Post-grad",4264
"AK","White",-0.5,"70+","No HS",1565
"AK","White",-0.5,"70+","HS",4750
"AK","White",-0.5,"70+","Some college",5811
"AK","White",-0.5,"70+","4-Year College",2934
"AK","White",-0.5,"70+","Post-grad",1995
"AK","White",0.5,"18-29","No HS",3295
"AK","White",0.5,"18-29","HS",14112
"AK","White",0.5,"18-29","Some college",18291
"AK","White",0.5,"18-29","4-Year College",5216
"AK","White",0.5,"18-29","Post-grad",521
"AK","White",0.5,"30-39","No HS",1654
"AK","White",0.5,"30-39","HS",9832
"AK","White",0.5,"30-39","Some college",13307
"AK","White",0.5,"30-39","4-Year College",7440
"AK","White",0.5,"30-39","Post-grad",4175
"AK","White",0.5,"40-49","No HS",1000
"AK","White",0.5,"40-49","HS",7042
"AK","White",0.5,"40-49","Some college",10668
"AK","White",0.5,"40-49","4-Year College",6226
"AK","White",0.5,"40-49","Post-grad",3816
"AK","White",0.5,"50-59","No HS",1296
"AK","White",0.5,"50-59","HS",10265
"AK","White",0.5,"50-59","Some college",12389
"AK","White",0.5,"50-59","4-Year College",6678
"AK","White",0.5,"50-59","Post-grad",4668
"AK","White",0.5,"60-69","No HS",1434
"AK","White",0.5,"60-69","HS",7679
"AK","White",0.5,"60-69","Some college",11760
"AK","White",0.5,"60-69","4-Year College",5894
"AK","White",0.5,"60-69","Post-grad",4299
"AK","White",0.5,"70+","No HS",1264
"AK","White",0.5,"70+","HS",3412
"AK","White",0.5,"70+","Some college",5531
"AK","White",0.5,"70+","4-Year College",3026
"AK","White",0.5,"70+","Post-grad",3981
"AK","Black",-0.5,"18-29","No HS",0
"AK","Black",-0.5,"18-29","HS",852
"AK","Black",-0.5,"18-29","Some college",733
"AK","Black",-0.5,"18-29","4-Year College",338
"AK","Black",-0.5,"18-29","Post-grad",24
"AK","Black",-0.5,"30-39","No HS",0
"AK","Black",-0.5,"30-39","HS",224
"AK","Black",-0.5,"30-39","Some college",644
"AK","Black",-0.5,"30-39","4-Year College",316
"AK","Black",-0.5,"30-39","Post-grad",278
"AK","Black",-0.5,"40-49","No HS",0
"AK","Black",-0.5,"40-49","HS",287
"AK","Black",-0.5,"40-49","Some college",440
"AK","Black",-0.5,"40-49","4-Year College",37
"AK","Black",-0.5,"40-49","Post-grad",220
"AK","Black",-0.5,"50-59","No HS",65
"AK","Black",-0.5,"50-59","HS",515
"AK","Black",-0.5,"50-59","Some college",658
"AK","Black",-0.5,"50-59","4-Year College",181
"AK","Black",-0.5,"50-59","Post-grad",204
"AK","Black",-0.5,"60-69","No HS",70
"AK","Black",-0.5,"60-69","HS",260
"AK","Black",-0.5,"60-69","Some college",410
"AK","Black",-0.5,"60-69","4-Year College",42
"AK","Black",-0.5,"60-69","Post-grad",82
"AK","Black",-0.5,"70+","No HS",115
"AK","Black",-0.5,"70+","HS",212
"AK","Black",-0.5,"70+","Some college",131
"AK","Black",-0.5,"70+","4-Year College",69
"AK","Black",-0.5,"70+","Post-grad",32
"AK","Black",0.5,"18-29","No HS",543
"AK","Black",0.5,"18-29","HS",1489
"AK","Black",0.5,"18-29","Some college",1665
"AK","Black",0.5,"18-29","4-Year College",42
"AK","Black",0.5,"18-29","Post-grad",0
"AK","Black",0.5,"30-39","No HS",19
"AK","Black",0.5,"30-39","HS",998
"AK","Black",0.5,"30-39","Some college",1129
"AK","Black",0.5,"30-39","4-Year College",0
"AK","Black",0.5,"30-39","Post-grad",57
"AK","Black",0.5,"40-49","No HS",122
"AK","Black",0.5,"40-49","HS",890
"AK","Black",0.5,"40-49","Some college",518
"AK","Black",0.5,"40-49","4-Year College",96
"AK","Black",0.5,"40-49","Post-grad",117
"AK","Black",0.5,"50-59","No HS",54
"AK","Black",0.5,"50-59","HS",412
"AK","Black",0.5,"50-59","Some college",413
"AK","Black",0.5,"50-59","4-Year College",105
"AK","Black",0.5,"50-59","Post-grad",47
"AK","Black",0.5,"60-69","No HS",71
"AK","Black",0.5,"60-69","HS",43
"AK","Black",0.5,"60-69","Some college",450
"AK","Black",0.5,"60-69","4-Year College",101
"AK","Black",0.5,"60-69","Post-grad",259
"AK","Black",0.5,"70+","No HS",113
"AK","Black",0.5,"70+","HS",0
"AK","Black",0.5,"70+","Some college",189
"AK","Black",0.5,"70+","4-Year College",104
"AK","Black",0.5,"70+","Post-grad",91
"AK","Other",-0.5,"18-29","No HS",2967
"AK","Other",-0.5,"18-29","HS",8153
"AK","Other",-0.5,"18-29","Some college",8685
"AK","Other",-0.5,"18-29","4-Year College",2072
"AK","Other",-0.5,"18-29","Post-grad",311
"AK","Other",-0.5,"30-39","No HS",1985
"AK","Other",-0.5,"30-39","HS",4181
"AK","Other",-0.5,"30-39","Some college",5299
"AK","Other",-0.5,"30-39","4-Year College",1495
"AK","Other",-0.5,"30-39","Post-grad",687
"AK","Other",-0.5,"40-49","No HS",797
"AK","Other",-0.5,"40-49","HS",3489
"AK","Other",-0.5,"40-49","Some college",4790
"AK","Other",-0.5,"40-49","4-Year College",1864
"AK","Other",-0.5,"40-49","Post-grad",486
"AK","Other",-0.5,"50-59","No HS",1552
"AK","Other",-0.5,"50-59","HS",3470
"AK","Other",-0.5,"50-59","Some college",3440
"AK","Other",-0.5,"50-59","4-Year College",1808
"AK","Other",-0.5,"50-59","Post-grad",838
"AK","Other",-0.5,"60-69","No HS",1422
"AK","Other",-0.5,"60-69","HS",2507
"AK","Other",-0.5,"60-69","Some college",3221
"AK","Other",-0.5,"60-69","4-Year College",861
"AK","Other",-0.5,"60-69","Post-grad",255
"AK","Other",-0.5,"70+","No HS",2025
"AK","Other",-0.5,"70+","HS",1484
"AK","Other",-0.5,"70+","Some college",908
"AK","Other",-0.5,"70+","4-Year College",579
"AK","Other",-0.5,"70+","Post-grad",196
"AK","Other",0.5,"18-29","No HS",4235
"AK","Other",0.5,"18-29","HS",10222
"AK","Other",0.5,"18-29","Some college",7103
"AK","Other",0.5,"18-29","4-Year College",1247
"AK","Other",0.5,"18-29","Post-grad",113
"AK","Other",0.5,"30-39","No HS",1486
"AK","Other",0.5,"30-39","HS",6351
"AK","Other",0.5,"30-39","Some college",4325
"AK","Other",0.5,"30-39","4-Year College",1246
"AK","Other",0.5,"30-39","Post-grad",411
"AK","Other",0.5,"40-49","No HS",1269
"AK","Other",0.5,"40-49","HS",5096
"AK","Other",0.5,"40-49","Some college",3436
"AK","Other",0.5,"40-49","4-Year College",1177
"AK","Other",0.5,"40-49","Post-grad",441
"AK","Other",0.5,"50-59","No HS",1178
"AK","Other",0.5,"50-59","HS",4547
"AK","Other",0.5,"50-59","Some college",3482
"AK","Other",0.5,"50-59","4-Year College",691
"AK","Other",0.5,"50-59","Post-grad",380
"AK","Other",0.5,"60-69","No HS",899
"AK","Other",0.5,"60-69","HS",2635
"AK","Other",0.5,"60-69","Some college",2640
"AK","Other",0.5,"60-69","4-Year College",919
"AK","Other",0.5,"60-69","Post-grad",202
"AK","Other",0.5,"70+","No HS",1490
"AK","Other",0.5,"70+","HS",730
"AK","Other",0.5,"70+","Some college",945
"AK","Other",0.5,"70+","4-Year College",390
"AK","Other",0.5,"70+","Post-grad",144
"AK","Hispanic",-0.5,"18-29","No HS",282
"AK","Hispanic",-0.5,"18-29","HS",657
"AK","Hispanic",-0.5,"18-29","Some college",1341
"AK","Hispanic",-0.5,"18-29","4-Year College",343
"AK","Hispanic",-0.5,"18-29","Post-grad",7
"AK","Hispanic",-0.5,"30-39","No HS",57
"AK","Hispanic",-0.5,"30-39","HS",221
"AK","Hispanic",-0.5,"30-39","Some college",512
"AK","Hispanic",-0.5,"30-39","4-Year College",303
"AK","Hispanic",-0.5,"30-39","Post-grad",385
"AK","Hispanic",-0.5,"40-49","No HS",46
"AK","Hispanic",-0.5,"40-49","HS",456
"AK","Hispanic",-0.5,"40-49","Some college",762
"AK","Hispanic",-0.5,"40-49","4-Year College",516
"AK","Hispanic",-0.5,"40-49","Post-grad",124
"AK","Hispanic",-0.5,"50-59","No HS",98
"AK","Hispanic",-0.5,"50-59","HS",137
"AK","Hispanic",-0.5,"50-59","Some college",395
"AK","Hispanic",-0.5,"50-59","4-Year College",152
"AK","Hispanic",-0.5,"50-59","Post-grad",0
"AK","Hispanic",-0.5,"60-69","No HS",0
"AK","Hispanic",-0.5,"60-69","HS",75
"AK","Hispanic",-0.5,"60-69","Some college",267
"AK","Hispanic",-0.5,"60-69","4-Year College",188
"AK","Hispanic",-0.5,"60-69","Post-grad",0
"AK","Hispanic",-0.5,"70+","No HS",115
"AK","Hispanic",-0.5,"70+","HS",23
"AK","Hispanic",-0.5,"70+","Some college",151
"AK","Hispanic",-0.5,"70+","4-Year College",107
"AK","Hispanic",-0.5,"70+","Post-grad",20
"AK","Hispanic",0.5,"18-29","No HS",312
"AK","Hispanic",0.5,"18-29","HS",1110
"AK","Hispanic",0.5,"18-29","Some college",2553
"AK","Hispanic",0.5,"18-29","4-Year College",153
"AK","Hispanic",0.5,"18-29","Post-grad",1
"AK","Hispanic",0.5,"30-39","No HS",188
"AK","Hispanic",0.5,"30-39","HS",443
"AK","Hispanic",0.5,"30-39","Some college",1244
"AK","Hispanic",0.5,"30-39","4-Year College",427
"AK","Hispanic",0.5,"30-39","Post-grad",22
"AK","Hispanic",0.5,"40-49","No HS",55
"AK","Hispanic",0.5,"40-49","HS",220
"AK","Hispanic",0.5,"40-49","Some college",677
"AK","Hispanic",0.5,"40-49","4-Year College",172
"AK","Hispanic",0.5,"40-49","Post-grad",133
"AK","Hispanic",0.5,"50-59","No HS",58
"AK","Hispanic",0.5,"50-59","HS",678
"AK","Hispanic",0.5,"50-59","Some college",108
"AK","Hispanic",0.5,"50-59","4-Year College",143
"AK","Hispanic",0.5,"50-59","Post-grad",61
"AK","Hispanic",0.5,"60-69","No HS",0
"AK","Hispanic",0.5,"60-69","HS",172
"AK","Hispanic",0.5,"60-69","Some college",337
"AK","Hispanic",0.5,"60-69","4-Year College",123
"AK","Hispanic",0.5,"60-69","Post-grad",8
"AK","Hispanic",0.5,"70+","No HS",38
"AK","Hispanic",0.5,"70+","HS",76
"AK","Hispanic",0.5,"70+","Some college",141
"AK","Hispanic",0.5,"70+","4-Year College",18
"AK","Hispanic",0.5,"70+","Post-grad",0
"AZ","White",-0.5,"18-29","No HS",19370
"AZ","White",-0.5,"18-29","HS",57146
"AZ","White",-0.5,"18-29","Some college",108034
"AZ","White",-0.5,"18-29","4-Year College",51410
"AZ","White",-0.5,"18-29","Post-grad",10340
"AZ","White",-0.5,"30-39","No HS",10409
"AZ","White",-0.5,"30-39","HS",31231
"AZ","White",-0.5,"30-39","Some college",78468
"AZ","White",-0.5,"30-39","4-Year College",58258
"AZ","White",-0.5,"30-39","Post-grad",31059
"AZ","White",-0.5,"40-49","No HS",9809
"AZ","White",-0.5,"40-49","HS",38619
"AZ","White",-0.5,"40-49","Some college",80636
"AZ","White",-0.5,"40-49","4-Year College",54939
"AZ","White",-0.5,"40-49","Post-grad",32797
"AZ","White",-0.5,"50-59","No HS",12313
"AZ","White",-0.5,"50-59","HS",62232
"AZ","White",-0.5,"50-59","Some college",109714
"AZ","White",-0.5,"50-59","4-Year College",56733
"AZ","White",-0.5,"50-59","Post-grad",33450
"AZ","White",-0.5,"60-69","No HS",11639
"AZ","White",-0.5,"60-69","HS",70141
"AZ","White",-0.5,"60-69","Some college",120669
"AZ","White",-0.5,"60-69","4-Year College",58670
"AZ","White",-0.5,"60-69","Post-grad",41591
"AZ","White",-0.5,"70+","No HS",27956
"AZ","White",-0.5,"70+","HS",110706
"AZ","White",-0.5,"70+","Some college",116209
"AZ","White",-0.5,"70+","4-Year College",46215
"AZ","White",-0.5,"70+","Post-grad",35281
"AZ","White",0.5,"18-29","No HS",25642
"AZ","White",0.5,"18-29","HS",77083
"AZ","White",0.5,"18-29","Some college",111214
"AZ","White",0.5,"18-29","4-Year College",41375
"AZ","White",0.5,"18-29","Post-grad",6589
"AZ","White",0.5,"30-39","No HS",12330
"AZ","White",0.5,"30-39","HS",47187
"AZ","White",0.5,"30-39","Some college",82024
"AZ","White",0.5,"30-39","4-Year College",53538
"AZ","White",0.5,"30-39","Post-grad",24970
"AZ","White",0.5,"40-49","No HS",13239
"AZ","White",0.5,"40-49","HS",45287
"AZ","White",0.5,"40-49","Some college",81307
"AZ","White",0.5,"40-49","4-Year College",53989
"AZ","White",0.5,"40-49","Post-grad",30851
"AZ","White",0.5,"50-59","No HS",15723
"AZ","White",0.5,"50-59","HS",66362
"AZ","White",0.5,"50-59","Some college",95157
"AZ","White",0.5,"50-59","4-Year College",54057
"AZ","White",0.5,"50-59","Post-grad",31902
"AZ","White",0.5,"60-69","No HS",10903
"AZ","White",0.5,"60-69","HS",53124
"AZ","White",0.5,"60-69","Some college",102248
"AZ","White",0.5,"60-69","4-Year College",61403
"AZ","White",0.5,"60-69","Post-grad",42031
"AZ","White",0.5,"70+","No HS",21153
"AZ","White",0.5,"70+","HS",69343
"AZ","White",0.5,"70+","Some college",91432
"AZ","White",0.5,"70+","4-Year College",58073
"AZ","White",0.5,"70+","Post-grad",51035
"AZ","Black",-0.5,"18-29","No HS",2768
"AZ","Black",-0.5,"18-29","HS",7544
"AZ","Black",-0.5,"18-29","Some college",13733
"AZ","Black",-0.5,"18-29","4-Year College",2510
"AZ","Black",-0.5,"18-29","Post-grad",605
"AZ","Black",-0.5,"30-39","No HS",1210
"AZ","Black",-0.5,"30-39","HS",4250
"AZ","Black",-0.5,"30-39","Some college",8872
"AZ","Black",-0.5,"30-39","4-Year College",3454
"AZ","Black",-0.5,"30-39","Post-grad",2016
"AZ","Black",-0.5,"40-49","No HS",1264
"AZ","Black",-0.5,"40-49","HS",2877
"AZ","Black",-0.5,"40-49","Some college",8158
"AZ","Black",-0.5,"40-49","4-Year College",2806
"AZ","Black",-0.5,"40-49","Post-grad",2481
"AZ","Black",-0.5,"50-59","No HS",1538
"AZ","Black",-0.5,"50-59","HS",3341
"AZ","Black",-0.5,"50-59","Some college",7100
"AZ","Black",-0.5,"50-59","4-Year College",2083
"AZ","Black",-0.5,"50-59","Post-grad",1533
"AZ","Black",-0.5,"60-69","No HS",1065
"AZ","Black",-0.5,"60-69","HS",3325
"AZ","Black",-0.5,"60-69","Some college",4907
"AZ","Black",-0.5,"60-69","4-Year College",1519
"AZ","Black",-0.5,"60-69","Post-grad",1429
"AZ","Black",-0.5,"70+","No HS",1517
"AZ","Black",-0.5,"70+","HS",2206
"AZ","Black",-0.5,"70+","Some college",2804
"AZ","Black",-0.5,"70+","4-Year College",1166
"AZ","Black",-0.5,"70+","Post-grad",791
"AZ","Black",0.5,"18-29","No HS",4918
"AZ","Black",0.5,"18-29","HS",10613
"AZ","Black",0.5,"18-29","Some college",14093
"AZ","Black",0.5,"18-29","4-Year College",3001
"AZ","Black",0.5,"18-29","Post-grad",656
"AZ","Black",0.5,"30-39","No HS",2087
"AZ","Black",0.5,"30-39","HS",6156
"AZ","Black",0.5,"30-39","Some college",9227
"AZ","Black",0.5,"30-39","4-Year College",3225
