subjectNO,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
14,14,1,0,0,0,0,0,3,2,0,1,0,1,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To understand how people of disability feel when having confronted with tasks. To perhaps come up with better ways/technology to enhance them.,21,0,1,Mathematical Economics
15,15,0,0,0,0,0,0,7,4,3,4,4,2,6,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] The purpose of the experiment might be to investigate alternative methods for doing everyday tasks for those who are unable to do them in a normal fashion.  Additionally, the researcher might be investigating people's mental and emotional perceptions of these alternatives, as well as their ability to learn, adapt, and follow an established set of rules regarding these alternative methods. ",19,0,1,Environmental Science
16,16,1,1,1,1,0,3,7,4,3,6,4,3,8,1,0,"To understand the ability of someone who is not impaired completing impaired tasks. Also, to understand how someone who is impaired might feel during everyday tasks. ",20,1,1,Economics/Real Estate
17,17,0,0,0,0,0,0,1,7,0,5,0,5,7,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] no idea,22,0,0,Anthropology/Life
18,18,1,0,0,0,0,0,7,4,2,6,4,6,3,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] (none given),21,0,1,(none given)
19,19,0,0,0,0,0,0,2,2,7,6,6,8,5,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To understand how people are conscious of what they do that can be perceived as out of the ordinary (?),21,1,1,EV/Outdoor Ed
20,20,1,0,0,0,0,0,6,7,2,6,3,5,9,1,1,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To find a cheap, everyday method for those who may be physically impaired. To see if we think things are funnier or less amusing with our face is having to strain its muscles in a very specific way. ",21,0,1,International Political Economy
21,21,0,0,0,0,0,0,6,3,5,6,2,7,7,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Perhaps to examine the role of self-perception/the creation of image of self, particularly in regard to judgement of others. ",20,0,1,Sociology
22,22,1,0,0,0,0,0,7,6,7,8,2,7,2,1,1,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Smiling face links to better evaluation of ability & more easily amused by comics. Humor rating links to ability to underline. ,20,0,1,Psychology
23,23,0,0,0,0,0,0,8,9,9,9,3,7,7,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To discover cheaper methods of alternative technologies to help those that are physically disabled.,19,0,1,(none given)
24,24,1,0,0,0,0,0,5,4,4,6,7,7,9,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To analyze the use of alternate methods that people with disabilities may encounter, and to study whether or not more expensive equipment is necessary or if cheaper forms are sufficient. ",20,0,1,Neuroscience
25,25,0,0,0,0,0,0,3,2,4,5,0,7,7,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To asses mouth cordination ,20,0,1,Biology
26,26,1,0,0,0,0,0,4,4,6,6,6,7,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] The purpose of this experiment as detailed before was to test cheaper alternatives to tech. that helps disabled people. But, I'm guessing it had more to do with how physical discomfort (ie holding pen in mouth) affects willingness to feel humor. Otherwise that piece seemed a little irrelevant!",19,0,1,N/A - undecided
27,27,0,0,0,0,0,0,5,6,0,0,0,0,7,1,1,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Realized @ cartoon section that it's probably about the effects of facial expression on mood,20,0,1,student
28,28,1,0,0,0,0,0,3,1,2,3,6,8,4,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To test how fast we can adapt,22,1,1,Biology
29,29,0,0,0,0,0,0,7,6,1,1,1,1,6,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Idk, for some of the content it said to hold the pen in your mouth while you rated the exercise, others did not give that explicit direction. Or maybe it had to do with being concerned w/how I look while holding the pen. ",19,1,1,Sociology/Education
30,30,1,0,0,0,0,0,6,4,9,9,5,7,7,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Otensibly to learn about writing for people w/disabilities, but I'm guessing it was to see how well the subject could follow directions (proper pen holding) while given difficult tasks (writing w/mouth)",21,1,1,Physics
31,31,0,0,0,0,0,0,3,4,4,5,8,9,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To study our ability to use our brain to not only analyze what we're reading but also to use a part of our body & functions that we never use,20,0,1,Social justice & Media
32,32,1,0,0,0,0,0,9,4,0,0,0,0,2,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see if shame associated with performing task in abnormal manner effects performance,21,0,1,Sociology
33,33,0,0,0,0,0,0,8,8,1,2,2,1,2,0,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To know what it is like to live without my hands?,22,0,1,Anthropology
34,34,1,0,0,0,0,0,6,4,3,6,5,6,9,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see how quickly people can adapt to using their body parts in a new way & to see how self-awareness of looking funny or different while doing something may affect how or how much disabled people choose to adapt to their disability.,,,,
35,35,0,0,0,0,0,0,7,7,5,5,6,7,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Purpose could be to gauge how affective someone is using their mouth to complete the tasks with the goal of finding new leads to development for people with disabilities,19,1,1,Economics & Political Science
36,36,1,0,0,0,0,0,5,1,0,6,7,8,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To examine the extent to which I can perform tasks (that I usually do with my hands) using my teeth instead comfortably,21,1,1,Economics and Mathematics
37,37,0,0,0,0,0,0,1,2,7,4,1,9,9,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see whether people are more easily amused when they're in physical discomfort. ,20,1,1,Film Studies
38,38,1,0,0,0,0,0,6,3,0,6,3,2,4,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see if there are cheaper but equally as effective methods of alternative movement, probably for people who can no longer use their hands but can't afford expensive therapies/machineries to function ",18,0,1,(none given)
39,39,0,0,0,0,0,0,6,4,3,4,2,5,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose is to study and understand how we can use certain parts of our bodies to accomplish different tasks that we do not typically do with these body parts.,18,0,1,Creative writing
40,40,1,0,0,0,0,0,4,3,6,7,7,8,6,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Social views of disabilities, awareness of self and others used in a productive manner to innovate",19,0,1,"Micro biology, International Affairs, Spanish minor"
41,41,0,0,0,0,0,0,4,5,4,4,2,4,7,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] The purpose of this experiment is not only what was listed in the description, but also to bring awareness of physical disabilities as someone who has not experienced them before. ",19,0,1,IPE (international political economy)
42,42,1,0,0,0,0,0,6,4,4,1,0,0,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see how people react when they are told to do/usually do unusual things by themselves. ,19,0,1,Chemistry
43,43,0,0,0,0,0,0,5,7,3,7,3,6,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] It seemed like this was testing whether a mechanism that you held/was placed in your similar to the pen would be easy to use, navigate, move, be comfortable. It seemed like the mechanism could help someone who has little control over anything except their face/mouth. ",18,0,1,Sociology/Feminist + Gender Studies
44,44,1,0,0,0,0,0,5,3,8,7,5,7,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Hmm, not exactly sure. Could be anything from studying the different methods that people use to accomplish these tasks (and trends in these methods), how long people take to do them, how facial expressions can be different while attempting to accomplish a task, etc. Not exactly sure, though...I would love to know.",19,1,1,Biology/Spanish
45,45,0,1,1,1,0,3,3,6,4,8,8,8,3,1,0,"Make the participants briefly aware of what it would be like to have to use another part of your body for as simple a task as writing, as well as allow those conducting the expeirment to see how people adjust and react when given such a task. ",21,0,1,Political Science major
46,46,1,0,0,0,0,0,6,4,5,7,8,3,9,1,1,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I have an inkling the purpose was to test the facial feedback theory. I thought of this as I was reading the second cartoon. ,21,0,1,(none given)
47,47,0,0,0,0,0,0,6,5,6,9,7,8,4,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I'm not sure; possibly how one's awareness of others watching might affect performance.,18,0,1,undeclared
48,48,1,0,0,0,0,0,7,4,7,9,9,9,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think this experiment was to find how poorly we are able to adapt to different circumstances. ,19,1,1,Chemistry
49,49,0,1,1,1,1,4,7,5,6,8,3,5,6,1,0,The purpose of the experiment is to test how well I can use my body to mimic tasks that people w/handicaps must do every day. ,20,0,1,N/A
50,50,1,0,0,0,0,0,7,2,6,7,3,6,4,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] This study is meant to promote new ways of using the body for simple tasks that others may not be able to do as simply. It also forces the participant to look at new ways in which the body can handle certain tasks. ,18,0,1,(none given)
51,51,0,0,0,0,0,0,6,5,4,6,6,3,5,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Probably something to do either with the cartoons, or with levels of self-consciousness. ",20,0,1,Environmental Science
52,52,1,0,0,0,0,0,6,4,4,6,8,8,7,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose of this experiment is partially to show how challenging life can be with a disability, and partially to see if my performance of the tasks got better with practice and time. ",20,0,1,Global Health/Pre-Med
53,53,0,0,0,0,0,0,6,3,6,7,3,4,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I believe the purpose of this experiment is to find alternative means to do everyday tasks. ,18,0,1,undecided
54,54,1,0,0,0,0,0,7,5,6,3,8,7,6,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] The purpose was to see how people dealt with different tasks with the ""challenge"" of the pen. If it significantly made it easier or harderto do. Maybe how our brains reacted..",19,1,1,sociology
55,55,0,0,0,0,0,0,5,4,6,7,3,8,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see how people rated themselves vs. their actual performance,21,1,1,event planning
56,56,1,1,1,1,1,4,2,3,0,0,0,0,7,1,0,"The purpose of this experiment was to examine the impact individual perception/perspective has on performing an unusual task. To be brief: negative > lower performance, positive > higher performance. May hold implications towards how self-judgement influences one's idea of competency, perceived outside or during an acitivity. ",18,1,1,pre-med/computer science
57,57,0,0,0,0,0,0,5,4,6,8,6,4,3,0,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To see or find how hard it is to write as if a handicap person when one doesn't have a handicap. The purpose may be to help develop a new way or technique for people with a disability to write in an easier and more efficient way. ,18,1,1,environmental physics
58,58,1,0,0,0,0,0,9,7,5,6,3,6,7,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose of this study is to collect data on how people are able to adapt to adverse conditions. This was done by putting subjects through this condition. ,18,1,1,organismal biology
59,59,0,0,0,0,0,0,5,5,1,1,3,3,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To gather data, regarding how realistic this hold is, comfort level + perofrmance relationship, for use in developing technologies for those who must use different ways to write",21,0,1,Political Science
60,60,1,0,0,0,0,0,3,1,9,2,5,2,5,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] 1) To see if we turned the paper? 2) To look at our faces while we computed tasks (discomforted, frustrated, etc.) 3) To see if we can follow directions. ",22,0,1,Biology (organismal & ecology)
61,61,0,0,0,0,0,0,5,6,0,7,3,8,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] to see how the solution would affect the social aspect of someone's life & to test it in different writing situations,18,0,1,N/A
62,62,1,0,0,0,0,0,1,5,4,4,7,6,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I  think the purpose of the experiment is to find out how people who do not have the possibility to hold a pen can still be able to perform similar task then people who can hold a pen in their hand. Also due to new touch screen technology people can be able to use them via this method. ,21,0,1,"Business Administration (major), Psychology (minor)"
63,63,0,0,0,0,0,0,1,6,6,4,6,8,3,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think it was about seeing what people think about when making the face or about if people can follow directions when left to a task if there is an easier way to do it if we'll do it,21,0,1,economics
64,64,1,1,1,1,0,3,2,3,3,7,5,9,9,1,0,To research different and more comfortable ways for people to write if they cannot write traditionally. Possibly to better the pen-in-mouth technique. ,18,0,1,Neuroscience
65,65,0,0,0,0,0,0,4,3,4,8,4,9,7,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose of this experiment is to study the way in which people perform tasks w/parts of their body that they wouldn't normally use, and see the discomfort they feel both physically & psychologically when doing these tasks in this way.",19,0,1,Feminist & Gender Studies & Pre-Med
66,66,1,0,0,0,0,0,8,5,7,5,7,9,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I believe the purpose of this experiment was to become aware of how simple everyday tasks can become difficult if you were to change the way you approach them. You become more aware of your body & what it's doing. ,19,0,1,Feminist & Gender Studies
67,67,0,0,0,0,0,0,6,7,6,5,1,7,7,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose of this experiment is to focus on how we as individuals communicate with one another and how it can be different for each and every one of us to communicate effectively. This experiment is used to understand the thoughts and reactions of each student. ,19,1,1,"Physics, Classics, Engineering"
68,68,1,0,0,0,0,0,4,2,3,5,4,5,7,1,0,To see how well and comfortably I could perform the tasks with the pen in my mouth in the correct position. ,18,1,1,undecided
69,69,0,0,0,0,0,0,5,3,4,7,7,4,6,1,0,To better understand the brain's capacity for fine motor skills in people that do not normally struggle with menial tasks.,18,1,1,undecided
70,70,1,1,0,1,1,3,5,4,1,0,1,1,8,0,0,I think that it's showing how you might feel when people are watching you - does it impact you enough that you don't perform correctly? I think I tcould also show different people's motor skills although it isn't gender or age based so I think it mostly has to do with what you think other people are seeing you do. It does ask for age/gender below though so those could be contributing factors to one's instability. ,18,0,1,undecided
71,71,0,1,1,1,1,4,7,5,5,2,6,8,7,1,0,"I believe the purpose was to evaluate my performance using a pen with my mouth, in order to determine whether my motor skills were able to adjust to this unusual act. ",18,1,1,undeclared
72,72,1,1,1,1,1,4,6,4,3,6,4,5,8,1,0,To determine the difficulty of using your body to do things it is not used to. To shed light on how difficult it is for people with disabilities.,18,1,1,N/A
73,73,0,1,1,1,1,4,3,4,1,3,2,3,4,0,0,Figure out/let us know the feelings of disables when they use mouth to hold the pen or use parts of body which normal people do not use to do things. ,18,0,1,undeclared
74,74,1,1,1,1,1,4,5,3,6,8,6,5,7,1,0,"To test people's perceptions when looking at those who are physically disabled and put them in a similar scenario to show how difficult and uncomfortable it is, and as a result find out how their perceptions change. ",21,1,1,Art
75,75,0,1,1,1,1,4,6,6,6,7,2,7,7,1,0,"To show that there are different ways to do things, innovative ways to help people, but we usually just associate more technology + better outcomes. ",18,0,1,Biology
76,76,1,0,0,0,0,0,8,1,4,5,2,9,6,1,0,"To find out how comfortable people are with writing with their mouths, see how each person does…not too sure about the cartoons though!",18,0,1,undeclared
77,77,0,1,1,1,1,4,2,6,9,9,0,8,8,1,0,To find alternatives to holding a pen without your hand. They're trying to find ways to create better technology for people with disabilities. ,21,0,1,Environmental Science
78,78,1,1,1,1,1,4,6,6,0,1,7,7,7,1,1,I think the purpose of the experiment was to study facial feedback: how forcing a smile can alter people's feelings/performances during certain tasks. The study also looked at how people use different parts of their body to complete tasks they wouldn't usually do with that part of their body. ,18,0,1,Neuroscience
79,79,0,0,1,1,1,3,7,7,8,5,7,9,7,1,0,I think the purpose of this experiment was to test an alternative to using a pen without using your hands. ,19,0,1,N/A
80,80,1,1,1,1,1,4,7,3,4,6,3,4,6,1,0,To gage how practical/comfortable using non-typical body parts to write to see how necessary new expensive technologies are for people who are unable to use their hands to write. ,18,0,1,undecided
81,81,0,1,1,1,1,4,0,1,0,0,3,7,7,1,0,To understand how people adapt to situations where they have limited resources,20,1,1,Biochemistry
82,82,1,1,1,0,1,3,5,1,7,5,2,1,9,1,0,No idea,19,0,1,Environmental Science & International Political Economy
83,83,0,1,1,1,1,4,6,7,3,6,3,8,5,1,0,To see how people's amusement changes when they are doing something that makes them look funny/makes them feel uncomfortable,21,0,1,EV Policy
84,84,1,1,1,1,1,4,6,2,7,7,6,6,9,1,0,self-image,21,0,1,Romance Languages
85,85,0,1,1,1,0,3,5,8,6,8,4,8,7,1,0,To assess how easily we may repurpose parts of our body to do things that are unfamiliar to it.,19,0,1,OBE (Biology) & Pre-Vet
86,86,1,1,0,1,1,3,7,6,2,4,1,6,3,1,0,I think this experiment is conducted to study the relationship of motor skills with odd functions. ,19,1,1,Political Science
87,87,0,1,1,1,1,4,4,5,6,6,5,7,5,1,0,I think that the purpose is to how well people perform in tasks when they are at some type of disadvantage in which they are being watched and in which their appearance is different than normal. ,18,0,1,undecided
88,88,1,1,1,1,1,4,7,8,8,6,7,4,8,1,0,"To see how effective one could write w/some sort of impairment, but also to see how thoughtful they could be while doing so (words exercise). Afterwards, the frame of mind of the user is examined (good/bad mood)",19,0,1,computer science/romance languages
89,89,0,1,1,1,1,4,3,4,7,8,4,5,8,1,0,"To understand how people deal with physical incapacitaiton by using parts of their bodies to replace their ""disabilities"". Also how it affects them psychologically. ",20,1,1,Physics/Computer Science
90,90,1,1,1,0,1,3,9,7,7,5,3,4,8,1,0,This experiment appears to test the ability and effectiveness of holding a pen between someone's teeth to perform several different activities. ,21,1,1,Mathematical Economics
91,91,0,0,1,1,1,3,6,8,7,6,3,7,6,1,0,To find new ways to help people w/disabilities or physical diformities in everyday life ex. People that lost hands/arms etc.,19,1,1,Economics
92,92,1,0,0,0,0,0,7,7,6,6,2,5,9,1,0,To test the quality of life of persons unable to perform tasks normally relative to the average person. ,20,1,1,Computer Science
93,93,0,0,0,0,0,0,4,5,2,4,4,5,8,1,0,"In the instructions, the purpose was stated to be a study of how well a task could be performed if I had a physical impariment.  I believe the purpose is to assess how people feel, both physically and emotionally, about performing simple tasks in an unusual way.",18,1,1,(none given)
94,94,1,0,0,0,0,0,6,5,1,5,2,6,6,1,0,The purpose of this experiment was to see how my performance doing something new and unusual improved w/practice. ,18,1,1,Chemistry
95,95,0,1,1,1,1,4,5,3,1,3,5,6,7,1,0,Either truly to see how well someone can use the pen in their mouth or how willing someone is to follow difficult instructions when they think they are helping others. ,21,1,1,"Economics & Business, Environmental Issues"
96,96,1,0,1,1,1,3,3,3,6,7,5,8,7,1,0,Something to do with facial expression but honestly I dunno,21,0,1,Biology
97,97,0,0,0,1,1,2,6,5,6,7,7,8,7,1,0,Social awareness in the development of new technology for special needs members of society ,19,0,1,Biochemistry
98,98,1,0,0,0,0,0,6,5,5,2,0,3,8,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] This experiment seems to be curious about whether people can complete these tasks using their mouth & whether they get frustrated by their ability/inability to perform the tasks satisfactorily. ,20,0,1,Philosophy & Music
99,99,0,1,1,1,1,4,5,1,3,5,3,6,4,1,0,to see if different parts of the body can be used in novel ways to preform everyday tasks (especially pertaining to people who may be unable to preform the tasks normally) ,18,0,1,undeclared
100,100,1,1,0,1,0,2,5,3,0,7,1,1,6,1,0,To study how someone who is not handicapped and is not actually limited ot this form of writing is able to do it and how they feel about it,19,0,1,undecided
101,101,0,0,0,1,1,2,2,1,3,6,4,5,8,1,0,For people who are unable to use their hands for writing activities ,18,0,1,Pre-health
102,102,1,1,1,1,1,4,6,4,2,4,3,4,5,1,0,To see how difficult it is to do normal tasks with unusual parts of the body,19,0,1,English
103,103,0,1,1,1,1,4,2,3,4,5,3,7,8,1,0,To see how we perceive faces that we don't usually make and how others may impact our own self-awareness.,18,1,1,Chemistry
