subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal;,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
83,83,1,,,,,0,6,5,1,4,3,4,6,1,0,The purpose is to help people with disabilities to perform tasks that they cannot do now,24,1,1,Psychology
84,84,1,1,1,1,1,4,0,0,0,5,4,6,1,1,0,Discovering the best way to hold a device for writing (either a pen or a device designed for that task) without using the hands; This could be useful for the adaptation of disabled people,21,1,1,Psychology
85,85,0,1,1,1,1,4,5,4,0,0,0,0,9,1,0,I guess the purpose of the experiment is to make people understand that there are tasks that disabled people cannot do; For example; cartoon 1 shows the lack of audition;  another cartoon represents people in difficult situations like the fishes; The cartoon with the monkeys I guess is also associated with hearing; I think this experiment evaluates how many people laughs at the misfortunes of others,18,0,1,Psychology
86,86,1,1,1,1,1,4,6,8,5,9,6,7,7,1,0,The aim is to discover motor skills,17,0,1,Psychology
87,87,1,1,1,1,1,4,2,2,1,1,1,3,,,,,,,,
88,88,0,,1,1,1,3,3,5,4,8,0,3,7,1,0,The aim is to see whether we are able to perform simple tasks with other parts of the body,19,1,1,Psychology
89,89,0,1,1,1,1,4,2,6,2,5,3,5,8,1,0,I guess is to determine the most efficient and alternative methods to write in order to help people who cannot use their hands ,20,1,1,Psychology
90,90,1,1,1,1,1,4,7,1,6,7,2,6,8,1,0,I guess the aim is to check how our facial muscles move to perform tasks such as joining points with a pen in the mouth; in order to compare it with people with paralysis or motor difficulties;,18,0,1,Psychology
91,91,1,1,1,1,1,4,6,4,4,7,5,6,6,1,0,I think the purpose is to measure our concentration ability (it can be one purpose but not the only one); because you have to focus on maintaining the correct position of the pen while performing a task; Also; you have to be well concentrated if you do not want to touch the pen with the lips,18,1,1,Psychology
92,92,1,0,1,1,1,3,5,5,6,3,0,5,7,1,0,Our teacher said it was to help people with disabilities,18,0,1,Psychology
93,93,0,1,1,1,1,4,7,7,6,5,7,5,4,0,0,To examine which is the most efficient way to perform simple tasks such as writing or manage a pen if you have some disabilities,19,0,1,Psychology
94,94,1,1,1,1,1,4,6,2,2,1,3,2,8,1,0,Probably it is to see what unusual activities or skills can be developed; since  in some circumstances they may become necessary,18,0,1,Psychology
95,95,0,1,1,1,1,4,5,6,3,6,2,6,6,1,0,I guess is to check the possibility of doing psychological tests to people with some motor disabilities that can not use their hands; Also; another aim is to examine the difficulties we have to learn how to use a body part for other purposes than the usual ones,19,0,1,Psychology
96,96,1,1,1,1,1,4,3,3,6,6,7,7,6,1,0,In my opinion; the purpose of the experiment is to know whether our mouth muscles are related to the brain; and our ability to perform tasks with the mouth; Some people can paint a canvas with a brush in the mouth; Also; it is possible to see how some skills can be developed if we do not have the systems that should perform that  action;,18,0,1,Psychology
97,97,0,1,1,1,1,4,3,7,0,2,1,0,7,1,0,The aim is to see the effort to do simple things; for example underline letters; but with a different part of the body than the usual,22,1,1,Psychology
98,98,1,1,1,1,1,4,2,2,3,7,0,7,8,1,0,I think the purpose is to learn how we can use all our body parts and therefore we will know how disabled people feel; In this case; we will sympathize with people who do not have arms,17,0,1,Psychology
99,99,0,1,1,1,1,4,6,2,0,6,3,2,3,1,0,The aim is to coordinate our mental activity with the act of holding a pen with a different  part of the body ,18,0,1,Psychology
100,100,1,1,1,1,1,4,5,2,3,5,2,5,7,1,0,I think is to check if we can laugh with a pen in the mouth,18,0,1,Psychology
101,101,0,1,1,1,1,4,4,3,4,7,8,6,8,1,0,To check our ability to perform an unusual task or a common task in a different way,18,0,1,Psychology
102,102,0,1,1,1,1,4,0,1,1,3,0,0,8,1,0,The experiment focuses on how we use different parts of our body to do adifferent function  than the basic; For example; the mouth is for eating,22,0,1,Psychology
103,103,0,1,1,1,1,4,6,7,3,6,2,7,6,1,0,I think the purpose is to find a way to help disabled people to use better a pen; It is like a writing handbook ,18,0,1,Psychology
104,104,1,1,1,1,1,4,7,3,2,0,0,3,6,0,0,The aim is to know the feeling of people with disabilities  ,19,0,1,Psychology
105,105,0,,,,,0,0,2,0,1,1,0,9,1,0,I think the purpose is to find out what capacities we have to perform some activities with specific parts of the body and in different ways; This would give us information about our capacity and the patience that we would have in these cases ,18,0,1,Psychology
106,106,1,1,1,1,1,4,2,0,0,6,3,7,8,1,0,I think it's to see if our brain reacts in a similar way when doing something with the hands or with the mouth; Also; it is possible to see our concentration capacity,23,0,1,Psychology
107,107,1,1,1,1,1,4,6,4,4,8,2,7,8,1,0,The purpose is to see if we can do common activities with a different part of our body,18,0,1,Psychology
108,108,1,1,1,1,1,4,2,0,1,6,3,1,8,1,0,In my opinion; the purpose of this experiment is to see if we can perform tasks with  parts of the body that usually do not use for that task,18,0,1,Psychology
109,109,0,1,1,1,1,4,2,5,3,5,4,4,6,1,0,I think the purpose of the experiment is to know how useful can be some parts of our body even if we do not use them frequeltly; Another purpose could be to know if holding a pen with the mouth is related to our humour sense,17,0,1,Psychology
110,110,1,1,1,1,1,4,6,3,2,6,7,6,8,1,0,Maybe is to know our skills to perform tasks with an unusual body part ,17,0,1,Psychology
111,111,0,1,1,1,1,4,7,8,0,0,0,0,4,1,0,The experiment is to measure the motor skills of some body parts that we use once in a while to perform certain activities ,20,1,1,Psychology
112,112,1,1,1,1,1,4,3,2,5,7,2,7,8,1,0,The purpose of the experiment is to measure our ability to do something as easy as joining points; underlining letters; etc; but with a different part of the body than the usual; with our teeth in this case,18,0,1,Psychology
113,113,0,1,1,1,1,4,5,7,6,8,9,4,9,1,0,Examining whether the time you have the pen in the mouth (which is an uncomfortable situation) influences your emotional state; in this case; if the vignettes are funny for you;,21,0,1,Psychology
114,114,1,1,1,1,1,4,4,2,1,5,0,1,6,0,0,I think the purpose of the experiment is to determine the ability of people to write or paint something with a pen in the mouth; in order to help people who cannot use their hands to write,18,0,1,Psychology
115,115,0,1,1,1,0,3,7,6,5,,0,2,7,0,0,Maybe is to see our difficulties to perform tasks without having the opportunity to perform them according to our needs,18,0,1,Psychology
116,116,1,1,1,1,1,4,3,4,7,3,3,0,6,1,0,You want to see if we can perform common tasks with other parts of the body that are not used for this purpose ,18,1,1,Psychology
117,117,0,1,1,1,1,4,7,7,6,8,7,9,8,1,0,In my opinion; the purpose of the experiment is to show that disabled people can perform the same tasks that any other person without disabilities; They are doing a study to check if these people can study in the future despite their difficulties;,18,0,1,Psychology
118,118,1,1,1,1,1,4,7,4,6,3,7,5,8,1,0,The motor ability of a part of our body when it has to do an exercise; and our concentration capacity to do an uncommon task (eg; writing with the mouth) ,18,0,1,Psychology
119,119,0,1,0,1,1,3,5,2,0,8,0,3,7,1,0,I believe the purpose is to assess our sense of humor; if we think is funny the sadistic or xenophobic humour of the cartoons,19,1,1,Psychology
120,120,1,1,1,1,1,4,4,1,1,6,2,1,7,1,0,The purpose of the experiment is to find out if people pay the same attention to understand something (cartoons) when they are in an uncomfortable situation (holding a pen with the mouth); Also; they want to check the motor skills of a body part that is not used to doing certain things;,18,1,1,Psychology
121,121,0,1,1,1,1,4,1,2,5,5,7,6,8,1,0,They want to test our resilience by checking if our brain is able of processing/performing motor activities with a different organ,20,0,1,Psychology
122,122,1,1,1,1,1,4,2,1,0,2,2,4,9,1,0,The aim is to study some skills that nowadays we do not have developed,18,0,1,Psychology
123,123,0,0,1,1,1,3,6,7,5,3,6,4,7,1,0,Our capacity to do usual things in an uncommon way,21,0,1,Psychology
124,124,1,1,1,1,1,4,2,0,1,2,1,2,7,1,0,The aim of the experiment is to test our skills in parts of the body that we do not have  developed for some tasks but we can perform with developed parts; For example; a person without hands will do better the task of writing with the mouth; since that skill has been developed by his/her state,18,0,1,Psychology
125,125,0,1,1,1,1,4,7,6,4,7,8,8,7,1,0,The aim is to assess the ability to write,20,0,1,Psychology
126,126,1,1,1,1,1,4,0,2,2,7,3,3,9,1,0,The ability of men and women to do two things at once,30,0,1,Psychology
127,127,0,1,1,1,1,4,3,3,6,6,4,3,8,0,0,The aim is to see how difficult is to write with the mouth; despite disabled people have developed some mouth movements to do it  as good as the people who write with the hand,18,0,1,Psychology
128,128,1,1,1,1,1,4,2,5,3,4,1,2,6,1,0,The purpose is to know our ability  to do tasks with parts of the body that we do not  use,18,0,1,Psychology
129,129,0,1,1,1,1,4,5,6,5,7,2,2,4,0,0,I guess is to know more deeply our skills;  limitations and the development of some parts of our body to know more about disabled people;,18,0,1,Psychology
130,130,1,1,1,1,1,4,2,3,0,1,0,0,8,1,0,Our psychomotor ability; Basically; if we can perform tasks using parts of our body that we do not use; and how our brain reacts to such actions,25,0,1,Psychology
131,131,0,1,1,1,1,4,6,6,6,1,0,6,7,1,0,El objetivo es estudiar la forma en que hacemos una tarea con una parte del cuerpo distinta de la ususal y si eso influye o distorsiona nuestra atenci—n en una tarea secundaria,18,0,1,Psychology
132,132,1,1,1,1,1,4,7,2,4,3,3,2,5,1,0,Something related to our laughter and how it affects the facial muscles,19,0,1,Psychology
133,133,0,1,1,1,1,4,6,5,3,6,3,5,6,1,0,If we can use a part of the body in an unusual way ,17,0,1,Psychology
134,134,1,1,1,1,1,4,7,2,9,9,0,8,2,1,0,To check if we can develop the same motor skill in a different part of the body to do a task that is associated to another body part,18,1,1,Psychology
135,135,0,1,1,1,1,4,7,8,0,0,0,5,9,0,0,The purpose is to check our difficulty to perform easy activities that we usually do with our hands but with other part of the body ,18,0,1,Psychology
136,136,0,,,,,0,3,5,6,8,9,8,8,1,0,The aim is that we can empathize with people with motor disabilities; ,22,0,1,Psychology
137,137,0,1,1,1,1,4,4,6,1,1,4,1,7,1,0,I think the aim is to see who clean the pen after the tasks,20,1,1,Psychology
138,138,0,1,1,1,1,4,6,7,4,4,3,5,8,1,0,The aim is to study our ability to focus on the questions while we are writing with the mouth,17,1,1,Psychology
139,139,0,1,1,1,1,4,1,2,1,3,3,4,9,1,0,I think they want to see if humans can act even if they are not in a comfortable position; and if there is a correlation on what they do and say; To me; it was simple to do and I did it quickly;,23,0,1,Psychology
140,140,1,1,1,1,1,4,4,1,7,8,5,7,8,1,0,I am sure you are doing the same with primates; they do many things with the mouth; Maybe you want to see if we can use our hands because we have that genetic load or we need more practice holding objects with the mouth; You want to know how much progress or delay we have in this motor ability and how it is affected by the lack of practice;,24,1,1,Psychology
141,141,0,1,1,1,1,4,2,3,0,5,0,5,6,1,0,Our skills to do tasks without using our hands as we usually do,20,0,1,Psychology
142,142,1,1,1,1,1,4,6,8,2,3,3,4,5,0,0,I think the experiment is to study our concentration capacity and abilities,21,0,1,Psychology
143,143,0,1,1,1,1,4,7,9,7,9,6,5,7,1,0,The purpose is to do certain things in an unusual way to see if our concentration is the same or we only pay attention to the pen; that's why they ask if we have understood the vignettes,18,0,1,Psychology
144,144,1,1,0,1,0,2,7,5,6,6,5,2,9,1,0,They want to understand the difficulty of using a part of our body for a purpose that is not common and measure the differences between someone with more ability to do this questionnaire and someone who do not have that skill; Also; the aim is to study the relationship between this ability and our personality;,20,0,1,Psychology
145,145,0,0,0,0,0,0,3,7,6,7,5,8,7,1,0,The purpose is to check our capacity to do easy tasks with unusual partsof our body,18,1,1,Psychology
146,146,1,1,1,1,1,4,8,4,7,8,3,3,6,1,0,Maybe is to see the capacity of women and men to perform more than a task at once; Also; perhaps you want to see the proportion of women and men that can do this task,,,1,Psychology
147,147,0,1,1,1,1,4,7,5,0,6,0,3,6,1,0,I don't know,19,1,1,Psychology
148,148,0,1,1,1,1,4,4,4,5,5,2,7,8,1,0,You can communicate with other parts of the body that are unusual,18,0,1,Psychology
149,149,1,0,1,1,1,3,3,5,7,9,7,9,9,1,0,If we focus on holding the pen instead of focusing on doing the tasks correctly,18,0,1,Psychology
150,150,1,1,1,1,1,4,4,3,5,7,2,4,5,1,0,Our capacity to do common things withn unusual parts of the body,17,0,1,Psychology
