Subject no.,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study, 
21,21,0,1,1,1,1,4,5,4,1,2,4,8,6,0,1,"Investigate whether you enjoyed the cartoons while you understood them. In general, you think everything is less funny when your mouth is in a closed/pouted position, like now.",22,0,0,"Bachelor in Political History, currently looking for a job.",
22,22,1,1,1,1,1,4,5,3,3,6,3,5,6,1,0,The ability to perform every day things without using the body parts which you would normally use for it.,20,0,1,Biomedical Sciences,
23,23,0,1,1,1,1,4,3,5,9,6,3,0,7,1,0,I think it is about the cartoon rating and the pen in your mouth was a distraction.,25,1,1,Medicine / Law,
24,24,1,1,1,1,1,4,5,6,1,5,5,2,9,1,0,How well you comply to a task? I really don't know anything else…,23,0,1,Master Corporate Communication,
25,25,0,1,1,1,1,4,2,5,6,7,3,8,6,0,0,"I think this is an interesting study, helping people with a disability to make their life as easy as possible.",20,0,1,Economics & Finance,
26,26,1,1,1,1,1,4,8,2,2,6,4,6,6,1,0,The goal of the study is to investigate to what extend people with this type of disability are restricted but also how restricted they feel.,20,0,1,Economics & Business Administration,
27,27,0,1,1,1,1,4,7,3,0,2,2,2,6,1,0,Something I don't expect,20,1,1,Economics & Business Administration,
28,28,1,1,1,1,1,4,8,2,6,7,8,8,5,1,0,Come up with an alternative for people who cannot use their hands. Maybe there are ways to perform an action by using the mouth.,20,0,1,Economics & Business Administration,
29,29,0,1,1,1,1,4,4,3,3,3,2,6,5,1,0,"By holding the pen in your mouth, you are continuously focused on holding the pen. Therefore, you are not focused on enjoying the cartoon. By concentrating on the pen, it may not be possible torelax and  enjoy the cartoon.",22,1,1,General Social Sciences,
30,30,1,1,1,1,1,4,5,4,2,7,6,8,5,1,0,How people with a motor disability solve daily things. Tested was how a 'normal' person reacts on the such a limitation and whether they would still like cartoons etc. Or whether they don't think their funny because of their limitation.,18,1,1,Economics & Business Administration,
31,31,0,1,0,1,1,3,9,9,7,,2,2,5,1,1,Whether  using muscles that are also used when you are angry influences how you rate the cartoons. Whether this is less positive than when you hold the pen 'wide' in your mouth and you use the muscles that are used when you smile.,20,0,1,General Social Sciences,
32,32,1,1,1,1,1,4,7,6,3,5,4,6,3,1,0,To investigate what the best way is to write with you mouth and how much/little pleasure people experience during this.,23,0,1,Business Economics,
33,33,0,1,1,1,1,4,3,4,2,3,2,5,4.5,1,0,To what extend you can be amused when you cannot use your hands as you  are used to.,23,0,1,Business Administration,
34,34,1,1,1,1,1,4,6,2,4,8,3,3,6,1,0,Investigated is how easy certain tasks can be accomplished when you are disabled and how much enjoyement can be experienced. The goal is to see whether there is a connection between the level of amusement and the effort you to get this amusement (which is high for disabled people).,19,1,1,Economics & Business Administration,
35,35,0,1,1,1,1,4,6,2,4,5,6,7,5,1,0,Test what makes it difficult to write with one's mouth and develop something to make this more easy.,19,1,1,Economics & Business Administration,
36,36,1,1,1,1,1,4,6,5,4,7,5,7,5,1,0,"How writing with a pen in your mouth can elicit different emotions. E.g., when you are performing badly (in the first 2 tasks) it might mean that you are more inclined to feel less happy while viewing the cartoons?",19,0,1,Amsterdam University College - Premed,
37,37,0,1,1,1,1,4,4,1,2,7,6,8,8,1,0,Seeing how emotions influence our physical functioning. When you have to smile it is more difficult to hold a pen with your mouth.,19,0,1,Natural Sciences,
38,38,1,1,1,1,1,4,6,6,1,4,4,6,7,1,0,Seeing whether people without a physical handicap can perform at a level at which people with a physical handicap can do it.,19,1,1,Economics & Business Administration,
39,39,0,0,0,0,0,0,,,,,,,,,,,,,,,
40,40,1,1,1,1,0,3,5,6,7,5,6,6,6,1,0,To make a comparison between the motor skills of different (groups of) people,24,1,1,Mathematics,
41,41,0,1,1,1,1,4,8,6,6,4,6,3,7,1,0,Tactics to draw circles with new technologies? --> Because these are difficult 'shapes'.,25,0,1,Medicine,
42,42,1,1,1,1,1,4,6,7,4,6,6,3,6,1,0,I think that it is about how you can work with a joystick in your mouth while you are going from one side to the other side.,19,1,1,Law,
43,43,0,1,1,1,1,4,6,8,5,6,8,5,5,1,0,How well you can conceive with disabled people,25,0,1,Social Worker (HBO - MWD),
44,44,1,1,1,1,1,4,6,3,3,4,6,6,6,1,0,No idea at all!,23,0,1,Communication,
45,45,0,1,1,1,1,4,5,4,7,2,3,4,7,0,0,To find a new way for disabled people to write and see whether people can think properly and concentrate on task if they have to concentrate on holding the pen with their mouth.,24,0,1,Law,
46,46,1,1,1,1,1,4,6,7,5,4,3,1,6,1,0,Can you still think logically when you perform a 'difficult' task.,23,0,1,Orthopedagogy/ Remedial educationalist ,
47,47,0,1,1,1,1,4,5,6,2,6,6,6,6,1,0,Test to what extend someone is capable to perform different task with your mouth and whether this differs for each task.,23,0,1,Didactics,
48,48,1,1,1,1,1,4,6,2,1,3,5,2,4,0,0,"To see whether the mind infuences motor acts, which part of the brains is activated and whether this influences performing the tasks.",19,0,1,Physiotherapy,
49,49,0,1,1,1,1,4,5,5,6,4,7,5,4,0,0,Physical coordination using 'medical' tools.,50,0,0,Nurse,
50,50,1,1,1,1,1,4,4,0,0,0,1,0,5,0,0,To what extend someone can focus on two different tasks at the same time. One task was holding the pen in your mouth (difficult task) and the other was performing the assignment. Also to check wether someone can combine and perform a difficult and a easy task.,33,0,1,Economics,
51,51,0,1,1,1,1,4,5,7,7,9,7,5,6,1,0,,30,0,1,English,
52,52,1,1,1,1,1,4,9,3,3,0,8,6,6,1,0,No idea. Certainly not the goal provided on the information brochure ;),30,0,0,self-employed tekst writer,
53,53,0,1,1,1,1,4,7,6,4,4,6,2,2,1,0,See how easy people can learn a new way to write. How people adjust/react to a situation,24,1,1,Artificial Intelligence,
54,54,1,1,1,1,1,4,6,2,6,4,7,6,6,1,0,Investigate whether it is do-able for someone without a disability to make something clear by using different methods than for example speech.,22,0,1,Tourism,
55,55,0,0,0,1,1,2,3,5,6,4,3,6,6,1,0,The goal of this experiment is to oabserve how people react and try to write with their mouth in order to better analyse their reasoning and find ways to help people who can only write with their mouth,22,1,1,Economics and Business Administration,
56,56,1,1,1,1,1,4,4,4,6,4,5,7,7,1,0,To investigate how long people hold the pen in the correct way.,20,0,1,Economics and Business Administration,
57,57,0,1,1,1,1,4,6,6,4,6,6,7,7,1,0,"Investigate whether disabled people who cannot write with their hands, but can write with their mouth would  be good participants for studies. Or whether they would be influenced by their disability when responding to questions.",20,0,1,Economics,
58,58,1,1,1,1,1,4,7,3,7,5,3,7,8,1,0,I think the goal of the experiment is to link motor skills to a certain type of person. Or to differentiate how different people experience a picture and  a connection with motor skills.,22,1,1,Social Science and Law,
59,59,0,0,0,1,1,2,5,6,3,6,3,7,3,1,0,"To investigate plasticity of the brain, the capability to adjust.",25,1,0,Food service industry,
60,60,1,1,1,1,1,4,7,6,3,5,5,2,8,0,0,"Examine whether 'handicapped' writing is influenced by emotions, in this case being amused by a cartoon.",23,0,1,special education pedagogy/teaching,
61,61,0,1,1,1,1,4,6,5,3,4,6,7,6,1,0,To be able to point out several letters on a screen by using a pen or stick,21,1,1,politicology,
62,62,1,1,1,1,1,4,7,4,5,2,5,5,4,1,0,"I think the goal is to see how easy or difficult it is to write with your mouth. In this way, adjustments can be made to things that people with handicaps use when they write with their mouth. To make it easier for them.",20,0,1,Pedagogy & Didactics,
63,63,0,,,,,0,5,5,1,3,1,7,7,1,0,To see how difficult people find it to write with their mouth.,19,0,1,Univesity PABO,
64,64,1,1,1,1,1,4,7,8,9,7,0,7,9,1,0,Measuring how well your are able to concentrate during several tasks using your mouth. Probably they will be watching at the smile/grin on someone's face during the cartoons.,22,0,1,Pedagogy,
65,65,0,1,1,1,1,4,8,6,3,4,4,3,4,0,0,If you can still concentrate on a task or cartoon when you are using another way of writing.,20,0,1,Didactics,
66,66,1,1,1,1,1,4,4,1,2,6,3,2,7,1,0,To which degree you can function with simple tools when you are physically handicapped and how this influences your mood?,21,0,1,Economics,
67,67,0,1,1,1,1,4,6,5,4,4,7,7,7,1,0,Developping new tools for people with disabilities.,23,0,1,Psycho-biology,
68,68,1,1,1,1,1,4,6,7,2,6,5,4,4,1,0,How well people are able to supress a swallow-reflex,20,0,1,European Studies,
69,69,0,1,1,1,1,4,7,8,6,7,4,7,3,1,0,Measuring the coordination of the mouth while writing,19,0,1,Economics and Business Administration,
70,70,1,1,1,1,1,4,7,4,6,4,6,4,4,0,0,Methods to make disabled people perform certain tasks with their mouth (like writing),19,0,1,Economics and Business Administration,
71,71,0,1,1,1,1,4,8,6,1,6,2,6,5,1,0,"Testing how useful ""everyday"" tools are to help disabled people. To see if a pen can also be used in a different way than with hands.",21,0,1,Economics and Business Administration,
72,72,1,1,1,1,1,4,4,3,8,2,2,6,8,1,0,"The effect of a handicap on precision. So if people are better at dealing with their disability after time. In this case, lines are becoming straighter",18,0,1,Economics and Business Administration,
73,73,0,1,1,1,1,4,6,5,3,6,3,6,6,1,0,Examining how difficult/unnatural/weird ways of holding a pen (that might cause some frustration because of your feelings of inadequacy) influence your perception of cartoons. Maybe you will like them less when you just did such a task or were in an uncomfortable position causing cramps in your lips and jaw. ,23,0,1,Communication Science,
74,74,1,1,1,1,1,4,8,5,6,1,5,8,5,1,0,Researching cheaper tools for mentally disabled people because of all the cuts in PGB-funding (persoonsgebonden budget),28,0,0,Visual Artist,
75,75,0,1,1,1,1,4,8,6,2,2,2,6,2,0,0,"Examining how tasks are fulfilled when you are disabled. How can your body take over the task, when for example, your hands do not work anymore.",24,0,1,special education pedagogy,
76,76,1,1,1,0,1,3,7,5,5,5,1,8,3,0,0,"Probably to see if it's possble to use a thing or tool by using it with your mouth/teeth. If this goes well and accurate, the more advanced apparatus can be made. ",19,1,1,Economics & Business Administration,
77,77,0,0,1,0,1,2,3,4,6,8,9,2,8,1,0,Different than different. Normally you would hold a pen in your hands and now in your mouth. That is different than different. (Anders dan anders),18,0,1,Helping healthcare and wellbeing.,
78,78,1,1,1,1,1,4,5,2,1,5,3,5,8,1,0,Developing new ways to (for example) write for people with muscle disorders. Seeing if this already goes well without practice. ,18,0,1,Law,
79,79,0,1,1,1,1,4,3,6,5,2,1,4,6,0,0,Seeing how other parts of your body are able to replace the parts of the body normally used. ,23,1,0,99,
80,80,1,1,1,1,1,4,6,4,4,2,6,2,6,0,0,"Whether people do exactly what is asked of them, or that they will chose an easier way. It is, for example, much easier to write when you use your lips as well while holding the pen in your mouth.",23,0,1,Pedagogy,
81,81,0,1,1,1,1,4,5,6,7,7,5,6,6,1,0,"Seeing if, when your are doing things with for example, your mouth, that will get more attention than the task itself.",23,0,1,Sociology,
82,82,1,1,1,1,1,4,6,6,5,7,6,8,3,1,0,"I suspect the goal is to examine the effectivity of non-verbale communication. By this, I also mean - how difficult it is for someone who cannot speak to ""effectively""and easily communicate.",38,1,0,Language coach - English,
83,83,0,1,1,1,1,4,7,7,9,8,8,9,3,1,0,To develop a tool to help people with a disability write with their mouth.,36,1,0,English Teacher,
84,84,1,1,1,1,1,4,6,3,6,7,3,7,6,1,0,No clue HAHA. It was funny.,20,0,1,Psychobiology,
85,85,0,1,1,1,1,4,5,3,7,6,6,6,6,1,0,To investigate whether this technique also works during entertainmaint.,21,0,1,Psychobiology,
86,86,1,1,1,1,1,4,8,6,3,5,6,5,5,1,1,"With the pen in your mouth, you smile a bit. When you look happy, this may have a positive influence on how funny you rate the cartoons. Perhaps you also feel that the other tasks are easier. ",25,0,1,Communication Science,
87,87,0,1,1,1,1,4,6,7,7,8,3,2,8,1,0,"To see whether writing with a pen in ones mouth is a good and inexpensive alternative for expensive tools, specifically whether a person can indicate what they intend to indicate.",23,0,1,Economics,
88,88,1,1,1,1,1,4,8,2,6,7,8,5,9,1,0,"I think you you investigate an inexpensive tool for people who cannot use their hands or other body parts, but can use their mouth to do stuff wit, not only to write but maybe also to move.",19,0,1,Economics & Business Administration,
89,89,0,1,1,1,1,4,4,7,6,7,3,5,3,1,0,Whether it is easier or harder to enjoy yourself when you have a disability,18,0,1,Economics & Business Administration,
90,90,1,1,1,1,1,4,5,4,7,4,3,4,5,1,0,To see whether people are able to perform daily activities for which you would normally use your hands with their mouth.,5,1,1,Law,
91,91,0,1,1,1,1,4,6,3,6,9,2,7,7,1,0,To analyse the possibilities for disabled people to learn to write without their hands. I think this at the moment they often use speech computers.,25,0,1,Business Administration,
92,92,1,1,1,1,1,4,6,3,3,4,6,7,6,1,0,To determine whether people can easily perform daily activities in which they have to hold a pen in their mouth for a long time,24,0,1,Business Administration,
93,93,0,1,1,1,1,4,6,7,3,7,2,8,6,1,1,"To see how people without a disability hold a pen in their mouth to write. So the investigaters can see how they do it, which muscles they use and which difficulties they encounter. Based on these results, procedures can be found that are easy and efficient for disabled people.",24,1,1,Aviation,
94,94,1,1,1,1,1,4,5,2,3,2,2,1,8,1,0,Do people have the concentration to perform the tasks exactly as was instructed,19,1,0,Personal Trainer,
95,95,0,1,1,1,1,4,8,6,9,9,3,8,4,0,0,To get a better understanding for disabled people. And to see whether performing a task with your mouth instead of your hand induce a different type of emotions.,32,0,0,Biology Teacher,
96,96,1,1,1,1,1,4,6,4,2,6,3,5,7,1,0,To investigate to what extend people can perform a task with their teeth so that equipment can be adjusted to this.,23,0,1,Political Science,
97,97,0,1,1,1,1,4,7,8,5,7,3,4,3,1,0,"To test whether the mouth, or in this case the lips are capable to serve as an alternative for the hands",23,1,1,Business Administration & Political Science ,
98,98,1,1,1,1,1,4,7,8,6,4,8,4,8,1,0,That we can conceive the difficulties that disabled people experience with daily activities.,20,0,1,Medicine,
99,99,0,1,1,1,1,4,7,3,4,8,3,3,7,0,0,To find cheaper alternatives for disabled people woho cannot use their hands to perform actions.,25,0,1,Business Administration,
100,100,1,1,1,1,1,4,5,2,4,5,4,5,8,1,0,To investigate the possibilities of performing an action with another part of the body than you usually use and test the possibilities for disabled people,20,0,1,Law,
101,101,0,1,1,1,1,4,5,4,2,4,6,7,7,1,0,No clue.,22,1,1,Econometrics,
102,102,1,0,0,1,1,2,7,4,4,7,3,7,4,1,0,"Examining whether it is useful to research tools that can help you in case of disability, by using your mouth.",19,0,0,Future student Social Sciences,
103,103,0,1,1,1,1,4,4,4,0,2,2,5,6,0,0,"Examining if people with a disability on e.g., their arms/hands perform better than people who can use their arms/hands. --> the idea that deaf people see better and blind can hear better than abled people.",20,0,1,Social Sciences,
104,104,1,1,1,0,1,3,7,6,6,7,6,7,3,1,0,"Giving disabled people who are dependent on their mouth the right tools. For this, it is necessary to see what is practical and what is not. Now I noticed that I was unable to swallow, for example. ",19,1,1,Economics & Business Administration,
105,105,0,1,1,1,1,4,6,5,6,5,5,5,7,1,1,To see if we process information differently when we are inhibited in our reaction. To see if we find funny this less amusing when we are unable to smile.,27,0,0,PhD Communication Sciences,
106,106,1,1,1,1,1,4,9,5,4,7,6,4,5,1,0,Examining if people follow the rules given instead of finding an easier way to move the pen around.,23,0,1,French language & culture,
107,107,0,1,1,1,1,4,7,4,3,2,2,2,5,1,0,"Whether people find alternatives methods for disabled people, like writing with your mouth instead of the hands, 'enjoyable'. Or that most find it annoying. When people think the cartoons are super funny, they must have enjoyed writing with the pen. ",22,0,1,Social Sciences,
108,108,1,1,1,0,1,3,6,4,7,5,3,7,5,1,0,Testing your coordination?,20,0,1,Political Science,
109,109,0,1,1,1,1,4,7,6,0,4,3,8,4,1,0,To see how well (abled) people perform daily activities of disabled people and how they feel after performing the tasks.,19,0,1,Economics & Business Administration,
110,110,1,1,0,0,0,1,4,3,2,5,2,3,4,1,0,Finding out about useful applications of body parts other than the hands to perform daily activities by physically disabled people.,23,1,1,Sociology,
111,111,0,1,1,1,1,4,6,4,6,6,4,6,4,0,0,Finding alternative ways to perform certain things that are usually performed with hands by people who cannot do this.,21,0,1,Sociology,
112,112,1,1,1,1,1,4,7,5,6,7,0,7,4,1,0,To which degree are one's psycho-motoric actions 'well' enough to develop cheaper tools and/or methods for disabled people. And how does this relate to one's sense of humor?,23,1,1,Sociology,
113,113,0,1,1,1,1,4,9,7,3,6,4,6,4,1,0,Seeing if there is a difference in task performance with the mouth between people with and without a handicap,23,0,1,Special Education Pedagogy,
114,114,1,1,0,1,1,3,6,6,5,7,5,6,7,1,0,Maybe examining where it goes wrong or during which activities holding the pen is most difficult. Gaining more insight in improvements for 'apparatus'/tools for people that need those. ,20,0,1,Anthropology,
115,115,0,1,1,1,1,4,6,7,3,5,1,4,7,1,0,What you think about jokes that are about one's disablities.,20,0,0,Not applicable: gap year,
116,116,1,1,1,1,1,4,7,3,2,5,5,7,6,1,0,See how good/bad the coordination of an item in a person's mouth is in general.,21,0,1,Urban and Regional Planning,
117,117,0,1,1,1,1,4,3,4,2,4,5,3,4,0,0,Investigate to what extend people are able to use sensed for other purposes than they are meant for.,22,0,1,Social Geography and Urban Planning,
118,118,1,1,1,0,1,3,5,5,6,5,6,5,6,1,0,Investigate whether people with a pen in their mouth can rate similarly as people without a pen in their mouth (whether the pen causes less enjoyment). And whether using a pen with your mouth to write is a good alternative for writing with your hand.,21,0,1,Cultural Antropology,
119,119,0,1,1,1,1,4,4,2,4,7,2,7,7,1,0,"See whether it is possible to write with your mouth. Also to investigate which type of feelings/muscles make it easier to write with ones mouth. For example, smiling is easier.",21,0,1,Master Brain and Cognitive Sciences (Psychobiology),
120,120,1,0,1,1,1,3,6,5,0,2,1,3,7,1,0,I think to test how people function with a pen in their mouth and whether they can still read well,21,0,1,Cultural Studies,
121,121,0,1,1,1,1,4,5,5,6,7,4,5,8,1,0,To find an inexpensive but effective way to a pen device that helps people who cannot use their hands to write.,19,0,1,Cultural Antropology,
122,122,1,1,1,1,1,4,7,5,5,6,7,8,2,1,0,I think the goal of this study is to investigate to what extend people can use their mouth muscles to perform daily activities such as writing and to see whether it is possible to develop an application for this.,20,0,1,Social Geography and Urban Planning,
123,123,0,1,1,1,1,4,6,3,1,3,6,1,6,0,0,I think it is about the cartoons. You focus on the pen and maybe this takes so much attention that you get no concentration of impulse from the cartoons,19,0,1,Social Geography,
124,124,1,1,1,1,0,3,7,8,2,6,3,6,5,1,0,Investigate how people find different possibilities when they somehow cannot perform a task the way they are used to and how well they do this. This can help people with a physical disability.,18,0,1,Social Geography and Urban Planning,
125,125,0,1,1,1,1,4,6,6,4,1,3,7,6,0,0,Find a solution for people with a disability so that they can function better in society,19,0,1,Social Geography and Urban Planning,
126,126,1,1,1,1,0,3,1,2,4,7,2,7,9,1,0,How the brain reacts to using another body part for certain tasks. See whether they react in a certain way to the new way of using a body part.,21,1,1,Social Geography,
127,127,0,0,0,0,0,0,6,6,4,5,6,6,4,1,0,"Offer easy and inexpensive help to disabled people. By testing how I write with my mouth, other ways to write can be investigated to help people with a physical disability. Also, to see to what extend my mouth moves during reading",20,1,1,Social Geography and Urban Planning,
128,128,1,1,0,0,0,1,5,4,4,5,4,6,4,1,0,Whether your cognitive abilities (in this case understanding humor) decrease when you are performing a difficult pysical taskwith a part of your body that is not used to this. The ultimate goal is to investigate the best way for disable people to learn to use new body parts,18,0,1,"Politics, Psychology, Law and Economics",
129,129,0,1,1,1,1,4,3,4,3,6,4,5,6,1,0,The goal of this study is to investigate to what extend people with a physical disability can communicate. What difficulties they encounter and how this can be improved,21,0,1,European Studies,
130,130,1,1,1,1,1,4,7,4,7,3,3,4,8,1,0,"Acoording to the information brochure is the goal to find an alternative way to work for people with a physical disability. I think that this study shows to what extend the mouth is a good resource and how fast people can adapt if they have to perform something in a different way. Though, you could not study psychology so I wonder what that means. Maybe this study has a totally different goal",21,0,1,European Studies & French,
131,131,0,1,1,1,1,4,7,6,7,4,3,7,6,1,0,Find an inexpensive and efficient way to write for people who cannot use their hands,19,0,1,Study of Education,
132,132,1,1,1,1,1,4,7,3,7,6,3,2,2,0,0,I would not know. The tasks were so different,19,0,1,Study of Education,
133,133,0,1,1,1,1,4,3,7,3,4,3,3,8,1,0,Test whether holding and using a pen with your mouth can be a realistic solution for people who cannot write with their hands. And test how ridiculous someone feels while doing this,21,1,1,Social Geography and Urban Planning,
134,134,1,1,1,1,1,4,7,3,7,5,7,4,3,1,0,Investigate to what extend it is possible to perform certain base functions in an alternate way when certain body parts do not function properly. In this case trying to write with your mouth if your hands don't function anymore.,19,1,1,Social Geography,
135,135,0,0,0,1,0,1,7,3,7,4,3,3,6,0,0,To what extend your mood is influenced by holding a pen in your mouth to write.,20,1,1,Social Geography and Urban Planning,
136,136,1,1,1,1,1,4,5,3,3,6,5,3,4,1,0,Test certain techniques to develop devices to help disabled people,19,1,1,Social Geography and Urban Planning,
137,137,0,1,0,0,0,1,3,4,3,3,4,5,7,1,0,To what extend emotions influence the ability to write with a pen in your mouth,57,1,0,Historical interviewer,
138,138,1,1,1,1,1,4,8,4,4,2,4,2,6,0,0,Measure concentration while I cannot use my normal movements (hands to write),23,1,1,Education,
139,139,0,1,1,1,1,4,7,7,6,7,6,8,7,1,0,,25,1,1,Education (ILO),
140,140,1,1,1,1,1,4,8,4,6,8,7,6,4,1,0,Seeing how amusement works for people with a physical handicap,24,0,1,Sociology,
141,141,0,1,0,1,1,3,7,7,6,4,7,5,4,1,0,If it is efficient/difficult to learn to use a controller like a pen with your mouth for people with physical handicaps who can only use their mouth.,20,1,1,Social Geography,
142,142,1,1,1,1,1,4,7,6,5,2,8,6,3,1,0,To learn how to better support or understand people with a handicap/paralysis.,21,1,1,Social Geography and Urban Planning,
143,143,0,1,1,1,1,4,7,5,8,1,5,8,7,1,1,"If people hold a pen in their mouths, their emotions are suppressed. I think the goal is to see if people evaluate a cartoon differently while holding a pen in their mouth. ",22,0,1,Research Master Communication Science,
144,144,1,1,1,1,1,4,5,7,7,3,4,6,2,1,0,If you are still able to perform the task correctly when you have to use different coordination,22,0,1,Fiscal Economics,
145,145,0,1,1,1,1,4,4,6,2,4,6,1,7,1,0,If your evaluation is influenced by the awkward position of your mouth,23,1,1,Economics,
146,146,1,1,1,1,1,4,6,3,5,9,3,4,6,1,0,If people can think of smart solutions to use the pen as well as possible,19,0,1,Philosophy,
147,147,0,1,1,1,1,4,7,8,6,5,6,7,5,1,1,If 'bringing the face in a certain shape' (pout lips) influences your perception of humor/appreciation of cartoons,20,1,1,Psychobiology,
148,148,1,1,1,1,1,4,7,8,1,7,9,2,2,1,0,How handicapped people can use an arm without hands,26,1,1,Economics,
149,149,0,1,1,1,1,4,7,8,4,5,4,7,6,1,0,"If your brain can function equally well, or if you can concentrate equally well, when you have to use another part of your body to perform a task",24,0,1,Innovation & Entrepeneurship,
150,150,1,1,1,1,1,4,6,6,2,5,1,4,7,1,0,-,22,0,1,Physics,
151,151,0,1,1,1,1,4,7,1,5,7,5,6,2,1,0,"If you can complete tasks while holding a long shaped object in your mouth. This could for example, provide people with handicaps an alternative for making their life easier/better.",21,1,1,Urban Planning,
152,152,1,0,1,1,1,3,7,3,6,6,4,5,7,1,0,"I don't think the goal is how well people can hold a pen in their mouths, but how well you can focus on other things while working so concentrated (understanding the cartoon while focussing on the pen in your mouth)",20,1,1,Social Geography,
153,153,0,1,1,1,1,4,3,4,4,5,3,6,7,1,0,This study is about the way in which certain tasks are performed (as will be seen on the videotapes). These tapes will probably be coded (-> motorical part of the study) and linked to the answers the participants gave (-> psychological part) to (goal :)) better understand the relationship between motoric tasks and mental attitudes. ,21,1,1,Philosophy/cultural anthropology and developmental sociology.,
154,154,1,1,1,1,1,4,7,7,3,4,3,3,5,1,0,"When you have to perform a difficult task for a longer period of time, you will get less amused by things",22,0,1,Political science,
155,155,0,1,1,1,1,4,8,6,6,7,4,8,2,1,0,"Seeing if cheaper alternatives exist for people with a motoric disability (like missing a limb). Normally it is very expansive to find the right materials to buy for these people, so I think  this study looks if there are cheaper alternatieve to make the lives of these people easier.",23,0,1,Political communication (MSc),
