subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
10,110,1,1,1,1,1,4,4,3,0,3,1,1,7,1,0,Dikkatimi hem görevleri gerçekle?tirmek için hem de kallemi kullanmak için harcad?m. Kallemi de?i?ik ?ekilde kullanman?n söylenilen komutlar? yerine getrirmemdeki etkisi merak edilmi? olabilir.,19,1,1,Psikoloji
11,111,0,1,1,1,1,4,7,4,3,6,1,4,5,1,0,"Kalemi a??zda do?ru ?ekilde tutmaya odaklanm??ken, ayn? zamanda sesli harfleri do?ru görebiliyor, rakamlar? do?ru s?rayla sayabiliyor muyuz gibi. K?smen zor olan bir i?e yo?unla?m??ken ayn? zamanda nispeten daha kolay i?levleri yerine getirebiliyor muyuz ya da karikatürlerdeki mizah? alg?layabiliyor muyuz, alg?m?z ne denli aç?k gibi sorular? cevapland?rmay? amaçlam?? olabilir.",23,0,1,Psikoloji
12,112,1,1,1,1,1,4,8,5,2,6,6,8,7,1,0,Engelli insanlar?n kullanamad?klar? organlar?n?n yerine geçebilecek farkl? bir ?ekilde ayn? görevi yerine getirebilecek bir bölge veya unsurun kullan?p kullan?lamayaca??.,19,0,1,Psikoloji
13,113,0,0,0,0,0,0,5,4,0,0,4,0,7,1,0,Al???geldi?imiz organlar d???nda farkl? organlar? kullanmam?z?n bili?sel ve duygusal farkl?l?klar?n? belirlemek.,19,0,1,Psikoloji (ing)
14,114,1,1,1,1,1,4,6,6,0,9,2,8,8,1,0,Temel günlük kulland???m?z en önemli organ eli kullanmadan bir hiç oldu?umuz veya kaleme odaklan?rken karikatürü anlamad???m?z Alg?y? ölçmek için olabilir.,19,0,1,Sosyoloji
15,115,0,0,0,0,0,0,6,7,1,1,8,4,3,1,0,Engelli insanlar? bir nebze olsun anlamak ve asl?nda kolay yap?labilir gibi görünen ?eyleri yapmaya ba?lad???m?zda asl?nda hiç kolay olmad???n? gördüm ve amaç da insanlar? daha iyi anlamak ve insanlar?n zorland??? konular? çözmek için teknolojiyle i?birli?i yapmak.,18,0,1,Psikoloji
16,116,1,1,0,1,1,3,1,0,1,1,3,2,2,0,0,Uzuvlar?n? kaybeden veya olmayan insanlar? anlamam?z,21,0,1,Psikoloji
17,117,0,1,1,1,1,4,3,5,3,4,5,4,7,1,0,Ellerini veya di?er uzuvlar?n? kullanamayan insanlar benim az önce yapt???m gibi kalem kullanmak için a??zlar?n? kullan?r olabilir. Bu deneyin amac? bu insanlar?n a??zlar?yla i?lerini halletme becerilerinde nas?l bir geli?ime sahip oldu?unu ölçmeyi amaçl?yor olabilir.,20,1,1,Psikoloji
18,119,0,0,0,0,0,0,1,3,1,4,3,3,8,1,0,Espri anlama yetene?iyle koordinasyon kabiliyeti aras?ndaki fark. El ve kol gibi temel i?lemlerimizi yapt???m?z organlar?m?z? kullanmadan becerilerimiz.,28,0,1,Sosyoloji
19,120,1,1,1,1,1,4,4,2,3,5,4,4,3,1,0,"Engelli insanlara ya?amlar?na kolayla?t?rabilecek yeni alternatifler sunabilmek için yap?lan bir çal??ma olabilir,empati ad?na yap?lan bir çal??ma da olabilir. Mizah?n hayat?m?zda ki önemini ölçmek amac?yla yap?l?yor olabilir.",19,0,1,Odyoloji/ Psikoloji
20,121,0,0,0,0,0,0,6,6,3,6,7,8,3,1,0,san?r?m kalemi kullanabilme becerilerimizi yada dudaklar?m?zla ellerimiz olmadan bir?eyler yapabilme yetimizi ölçüyor.,22,0,1,Psikoloji
21,122,1,1,1,1,1,4,1,0,1,2,2,2,7,1,0,"Ba?ka bir?eye odakland???m?z halde di?er ilgilenece?im ?eylerle ne kadar anlayabildi?imizi, yapabildi?imizi amaçlayan bir deney olabilir. Kalemi herzamankinden farkl? olarak a?z?m?zda tutarak ve kalemi dudaklar?m?za de?dirmemeye odaklan?rken di?er yapt???m?z ?eylerde ne derece ba?ar?l? oldu?umuzu ölçüyor.",18,0,1,Sosyoloji
22,123,0,1,1,0,0,2,8,9,0,4,1,5,2,1,0,"Engelli insanlara daha kolay, daha rahat bir hayat? sunabilmek birtak?m araç ve gereçlerin yap?m a?amalar?nda yard?mc? olabilece?ini dü?ündü?üm için deney bu amaçla yap?lm?? olabilir.",19,0,1,Psychology
23,124,1,1,1,1,1,4,7,5,3,2,5,8,3,1,0,bizler gibi ihtiyaçlar?n? kolayl?kla halledemeyen engelli insanlar?n ya?am zorluklar?n? göstermek için yap?lan bir deney oldu?unu dü?ünüyorum.,18,0,1,Sosyoloji
24,125,0,0,1,1,1,3,1,2,0,3,5,6,1,0,0,Ellerimizi kullanmadan ne kadar zorland???m?z? anlamaya yönelik bir dene. Ellerimin k?ymetini daha iyi anlad?m :),19,0,1,Sosyoloji
25,126,1,1,1,1,1,4,3,0,4,7,5,6,7,1,0,Engellilere daha ucuz ve kullan??l? yöntemler üretmek amac?yla oldu?u yazsa da empatiye yönelik olabilir. Ölçe?i doldurduktan sonra amac?n mizah-ö?renme ili?kisi olabilece?ini de dü?ünüyorum ama kalem-di??,22,0,1,Psikoloji
26,127,0,0,0,0,0,0,7,6,0,1,1,5,7,1,0,Engelli olmayan birinin ellerini kullanmay?nca ilk denemede a?z?yla kalem kullanmakta ne kadar ba?ar?l? olabilece?i,18,0,1,Sosyoloji
27,128,1,1,1,0,1,3,8,2,2,5,3,8,2,1,0,"Sadece di?lerle kalemi kontrol ederek, dudak yada tükrük bezlerinin yard?m?n? almadan yönergelere uyabilmek. Vücüt bir kordine ile çal???r, tek bir doku, kas eksikli?i zorlu?a sebep olabilir.",18,0,1,Sosyoloji
28,129,0,0,0,0,0,0,6,5,2,5,7,7,8,1,0,Kalem a?z?n ald???nda elinle kolayca yapabildi?in ?eyleri a?z?nla yapmak,19,1,1,Psikoloji
29,130,1,1,1,1,1,4,8,1,1,5,7,5,6,1,0,Engelli bireylerin ba?ka ?ekilde yapmak zorunda kald?klar? ?eylerin ne kadar olabilir oldu?u (ilk seferde),19,0,1,Psikoloji
30,131,0,1,1,1,1,4,1,2,1,1,4,3,2,0,0,Normalde kulland???m?z organ d???ndaki bir uzvumuzla anlama ve alg?lama faaliyeti s?ras?nda normale göre ne derece ba?ar?l? oldu?umuz.,20,1,1,Sosyoloji
31,132,1,1,1,1,1,4,2,1,0,9,0,5,7,1,0,Deneyin amac? ikili kontrol olabilir okuyup i?lemi yaparken dudaklar?n kaleme deymemesi gerekti?ini bilerek bir harekette bulundum,18,0,1,Sosyoloji
32,133,0,0,0,0,0,0,4,5,0,1,4,0,2,0,0,Noktalar? birle?tirme ve seli harflerin alt?n? çizmek motor beceri ölçüyor olsa gerek. Ancak daha önce deneyimledi?im bir karikatürlerde psikolojik reaksiyon veriyoruz ancak 1-10 aras?nda ki de?erlendirmenin neden yap?ld??? hakk?nda bir fikrim yok.,27,0,1,Psikoloji
33,134,1,1,1,1,1,4,7,4,2,3,7,8,5,1,0,Engelli olan insanlar?n daha kaliteli olarak nas?l kendilerini geli?tirebilirler. Hayatlar?n? daha kolay nas?l ya?arlar en önemlisi de ihtiyaçlar?n? (e?itim)…,40,0,1,Psikoloji
34,135,0,0,0,0,0,0,6,6,5,4,5,4,3,1,0,Empati yetene?i.Bu tür zorluklarla ya?am?n? sürdürebilmeye çal??an ki?ilerin neler hissetti?ini anlatabilmek,22,0,1,Psikoloji
35,202,1,1,1,1,1,4,8,7,2,3,1,1,3,1,0,Organlarda farkl? fonksiyonlar aramak. Engeliler ya da engelsizler için organlar?n yeni kullan?m alanlar?n?n var olup olmad???na bakmak olabilir.,19,1,1,Psikoloji
36,203,0,0,0,0,0,0,5,6,3,7,8,5,4,1,0,Engelli insanlar?n hayat?ndaki zorluklar? ve bunun için neler yap?labilece?ini amaçlad???n? dü?ünüyorum.,20,0,1,Psikoloji
37,204,1,0,0,0,0,0,6,5,1,1,8,9,4,1,0,"?nsan vücudunda kalem tutmak gibi vücudumuzun belli bir bölümünü kullan?rken, farkl? bir bölümü ile yapmaya çal???rken insan vücudunun verdi?i tepkilerin ö?renilmeye amaçland??? dü?ünüyorum.",19,0,1,Psikoloji ( ?ngilizce)
38,205,0,1,1,1,1,4,7,3,7,6,7,5,8,1,0,Kullanamad???m?z psikomotor hareketlerimizi ne kadar kullanabiliyoruzu ölçmek için. Engelli insanlar için yap?lan aletler çok pahal? ve ö?renilmesi zor oldu?u için ba?ka yollar aran?yor.,20,0,1,Psikoloji
39,206,1,1,1,1,1,4,1,4,4,4,4,3,5,1,0,Sözsüz ileti?imin beynimize etkile?imi.,20,0,1,Psikoloji (?ngilizce)
40,207,0,1,1,1,1,4,7,2,2,2,6,7,4,1,0,"Deney, motor becerilerimizin ne kadar kuvvetli oldu?unu anlayabilmek için yap?ld?. Yazmak için elimizi sürekli kullan?yoruz fakat a?z?m?zla bu i?i yaparken ayn? kolayl?kla yazamad???m?z? gösterdi.",20,0,1,Psikoloji 2.s?n?f
41,208,1,1,0,1,1,3,7,1,2,4,4,6,5,1,0,Hiçbir fikrim yok.,21,0,1,Psikoloji (ing)
42,209,0,1,1,1,1,4,4,7,2,1,3,6,2,0,0,Engelli insanlar? anlama.,21,0,1,Psikoloji
43,210,1,1,1,1,1,4,3,1,3,4,6,4,8,1,0,Engelli olan insanlar?n ellerini kullanmadan yapabiliceklerini yapabildiklerini.,20,0,1,Psychology
44,211,0,1,1,1,1,4,2,4,2,4,5,3,7,1,0,"Engelli insanlar?m?z?n ne ya?ad???n? hissetmek yada onlar?n nas?l yazd???n?, okudu?unu görmek. Onlar?n yapabileceklerini biz de yapabilirmiyiz yada bunlar? yaparken ne kadar zorland?k. Al??k?n oldu?umuz bir ?ekilde kalemi elimizle de?il de a?z?m?zla tuttuk. Bu da bizim için biraz zorlay?c? oldu.",21,0,1,Psikoloji(ing)
45,212,1,1,1,1,1,4,7,6,0,7,8,5,2,1,,,20,0,1,Psikoloji
46,213,0,1,1,1,1,4,5,6,8,4,2,7,8,0,0,"Elleri olmay?p a?z?yla yaz? yazan, çizen insanlar ile elleri olan di?er insanlar?n ayn? ?eye bakt???ndaki tepki farklar?n? ve çizgi çizme konusundaki zorluklar?. Yani elleri olan ve kalemle yazan birisi ile elleri olmay?p kalem a?z?ndayken yazan birisi acaba ayn? perspektife mi sahiptir? Bu ölçmek istenmi? olabilir.",20,0,1,Psikoloji ( ?ngilizce)
47,214,1,0,0,0,0,0,5,7,3,5,1,2,3,0,0,Engelli insanlar?n ya?ad??? zorluk. Engelli insanlarla empati kurmam?z.,26,1,1,Psikoloji
48,215,0,1,1,1,1,4,5,5,5,7,8,9,3,1,0,Deneyin amac? ellerimizin yard?m? olmadan a?z?m?zla ne kadar do?ru ölçüde yaz?yor olmam?z.,20,0,1,Psikoloji
49,216,1,0,0,0,0,0,7,2,3,6,8,7,5,1,0,Engelli insanlar?n bu becerileri ne kadar iyi kullanabileceklerini.,19,0,1,Psikoloji
50,217,0,1,1,1,1,4,7,5,3,7,7,8,6,1,0,"Kullanmad???m?z organlar?m?z? kullanabilir hale getirmek, i?levlerini art?rmak Ayr?ca farkl? karikatürlere bakarak farkl? ?ekilde dü?ünmeyi sa?lamak ve beynin farkl? bölümlerini çal??t?rmak.",19,0,1,Psikoloji
51,218,1,1,0,1,0,2,5,9,1,9,9,9,5,1,0,Engelli insanlar?n ne kadar çok zorluklar çekti?ini. Engelli insanlar?n mizah ( karakatür) gibi ?eyler ö?renmesine daha çok yard?mc? oldu?unu dü?ünüyorum.,20,0,1,Psikoloji
52,219,0,1,1,1,1,4,4,0,5,5,6,8,5,1,0,"Bana göre baz? insanlar?n veya engelli insanlar?n elleriyle, ayaklar?yla veya da vücüdunun herhangi organ?yla yapamad?klar?n? ba?ka ?ekillerde yap?yorlar vücütlar?n? kullanarak.",20,0,1,Psikoloji
53,220,1,1,1,1,1,4,7,4,5,7,5,8,4,1,0,Deney elleri kullanmadan a?z?m?zla neler yapabilece?imizi amaçl?yo bence. Engellilerin neler ya?ad???n? anlamam?za yard?mc? olmak için olabilir.,18,0,1,Psikoloji
54,221,0,1,1,1,1,4,3,3,1,2,1,2,5,0,0,Günlük hayatta kolayca yapabilece?imiz ?eyleri ba?ka ?ekilde.,19,0,1,Psikoloji
55,222,1,1,1,1,1,4,5,2,0,0,0,3,6,1,0,Bence deneyin amac? mizah?n insanlar? ne ?ekilde etkiledi?i ile alakal?.,19,0,1,Psikoloji
56,223,0,1,1,1,1,4,5,3,2,9,5,9,5,0,0,Ö?renmeyi mizah yoluyla kolayla?t?rmak ve çe?itli etkinliklerle ak?lda kalmas?n? kolayla?t?rmak.,19,0,1,Psikoloji
57,224,1,1,0,1,0,2,5,3,0,3,3,5,3,0,0,Engelli insanlar?n s?k?nt?lar?n? bir derece anlamam?z? amaçlad???n? dü?ünüyorum.,19,0,1,Psikoloji
58,225,0,1,1,1,1,4,8,7,2,5,4,8,7,1,0,Yazmak kabiliyeti için verilmi? ellerimizi kullanamad???m?z takdirde ba?ka bir organla bunu yaparken çok zorland?m. Deney bu zorlu?u ölçmekle ilgili olabilir diye dü?ünüyorum.,18,0,1,Sosyoloji
59,226,1,1,1,1,1,4,9,7,5,7,4,7,3,0,0,Engelli insanlar?n yetersiz kalan uzuvlar?n?n i?levlerini kar??lamak için zorland?klar?n? ve sa?l?kl? bir bireyin onlar? anlamak için onlar gibi davran?rken sadece beynimizi eksik olan parçam?za yönledirip yapt???m i?ten zevk alamamam? sa?lad?. Engelli insanlar?n beyninin sa?l?kl? bir bireyden daha fazla enerji sarf etti?ini dü?ünüyorum.,19,0,1,Psikoloji
60,227,0,1,1,1,1,4,1,3,0,0,0,1,9,1,0,Bana kal?rsa insan?n a?z?yla yapt??? ç?z?mlere sonrada eliyle yapt??? i?aretlere ve çizimlere bak?larak ikisinin aras?nda ne kadar fark oldu?unu anlamak deneyin amac?d?r.,20,1,1,Psikoloji ö?rencisi
61,228,1,1,1,1,1,4,7,6,4,8,4,9,4,1,0,Engelli insanlar?n baz? basit faliyetleri yaparken ne hissetiklerini anlamam?za ve bu faliyetleri yaparken onlara kolayl?k sa?lamak için yap?lm?? bir deney oldu?unu dü?ünüyorum.,20,0,1,?ngilizce Psikoloji
62,229,0,1,1,1,1,4,2,4,2,4,5,7,4,0,0,?nsanlar?n bir anl?k bak??ta ak?llar?ndan geçen dü?ünceleri ölçmek için olabilece?ini dü?ünüyorum.,19,0,1,Sosyoloji
63,230,1,1,1,1,1,4,6,2,2,2,1,7,4,1,0,Ellerimiz d???nda a??z?m?zla ya da herhangi bir uzvumuzla ne kadar i?lerimizi halledebiliyoruz. Bunun ölçmek istemi?tir.,18,0,1,Sosyoloji
64,231,0,1,1,1,1,4,5,5,4,7,8,9,3,1,0,Ellerimizi kullanmadan gerçekle?tirece?imiz eylemlerin sonucuna göre analiz. Kalemi do?ru pozisyonda ne kadar tutabilece?imizi ve bunum sonucuyla alakal?.,20,0,1,Sosyoloji
65,232,1,0,0,1,1,2,5,3,1,3,4,7,2,0,,,20,0,1,Psikoloji (?ngilizce)
66,233,0,1,1,1,1,4,2,2,1,3,2,2,7,0,0,Farkl? organlar bir i?lev yaparken anlama bir ?eyi ve dikkati ölçmek. Deneyin amac? insanlar?n al???k olmad??? ve ba?ka bir i?levi olan a??z ile yapt?klar?nda anlama ve dikkatlerinin ne kadar oldu?unu ölçmek. Ayr?ca normalde ba?ka bir i?lev için kullan?lan ?eyin ba?ka bir al???k olmayan ?eydeki ba?ar?s?n? ölçmek ve insan?n buna ne kadar kabiliyetli oldu?unu anlamak.,19,1,1,Psikoloji
67,234,1,1,1,1,1,4,3,4,0,5,9,8,8,1,0,Mizah?n hayat?m?zdaki yeri.,20,0,1,Psikoloji
68,235,0,0,0,0,0,0,3,3,4,5,9,9,8,1,0,I feel that such kind of Experment is s my first to take and like it to know much my organ system is working and the way I feel abput what I see and I like it any How.,19,1,1,Psikoloji
69,236,1,1,1,1,1,4,5,2,8,4,8,6,5,1,0,Engelli insanlar?n günlük hayatta kar??la?t?klar? sorunlardan sadece çok az bir k?sm?n? anlamam?z? sa?lamak. Kalemi a?z?mda tutarken ya?ad???m zorluk bana onlar?n bu konuda ya?ad??? s?k?nt?y? hat?rlatt?.,20,0,1,Ö?renci/ Psikoloji
70,237,0,1,1,1,1,4,6,0,5,8,7,9,7,1,0,Ellerimizi kullanmadan da temel ihtiyaçlarm?z? yapabilir miyiz? Bedensel engellerimiz hayat?m?z? devam ettirmemize engel te?kil eder mi?,20,0,1,Psikoloji ( Türkçe)
71,238,1,1,1,1,1,4,4,3,3,3,6,5,7,1,0,Pek bir fikrim yok. Engelli insanlar?n kendilerini ifade ederken ya?ad??? zorluklara dikkat çekmek.,22,1,1,Sosyoloji
72,239,0,1,1,1,1,4,3,1,0,2,5,5,9,1,0,Dikkat sabitleme süresini ölçmek. Ayn? anda farkl? noktalara dikkat sabitlemek.,18,0,1,Sosyoloji
73,240,1,1,1,1,1,4,7,5,2,3,5,5,2,1,0,Uzuvlar?m?z? istedi?imiz gibi kullanamad???m?zdaki ruh hali de?i?imi.,20,0,1,Sosyoloji
74,241,0,1,1,1,1,4,1,6,0,4,1,6,3,1,0,"Belli bir hareketi gerçekle?tirirken görevli, kabul edilen k?sm?n d???nda alternatif olarak di?er k?s?mlar? tespit.",19,0,1,Psikoloji
75,242,1,1,1,1,1,4,3,1,2,3,1,9,7,1,0,Fiziksel bozuklu?un bize ne kadar etkisi oldu?unu. Bu deneyde fiziksel bozukluklar?n ne kadar zor oldu?unu ve bunlar?n bilincinde olmam?z? bize aç?kl?yor olabilir. Amaç bence budur.,21,0,1,Psikoloji(ing)
76,243,0,1,1,1,1,4,3,4,1,2,5,6,6,1,0,"Günlük bir eylemi gerçekle?tirmede, normalde kullan?lan organ yerine ba?ka bir organ?n kullan?lmas? ve buna ba?l? olarak beyinde eylem ile ve organ ile ilgili de?i?kenlerin nas?l etkile?ti?ini ölçmek. ''A??zla yaz? yazmak ya da çizgi çizmek, yazmayla ilgili organ?n sadece el olmayabilece?ini gösterebilir mi;?'' srorusuna cevap ar?yor olabilir.",24,0,1,Psikoloji Bölümü
77,244,1,1,1,1,1,4,6,2,1,1,2,4,1,1,0,Engellilerin ne gibi zorluklarla kar??la?t???n? anlamak.,19,0,1,Psikoloji
78,245,0,1,1,1,1,4,,1,7,3,4,6,6,0,0,Hayat?m?zda ya?ayan birçok engelli insanlar? anlamak için yap?labilece?ini dü?ünüyorum. Engelli olmayan insanlar üzerinde derecesini ölçmek için amaçlanm?? olaca??n? dü?ünüyorum.,21,0,1,Psikoloji
79,246,1,1,1,1,1,4,4,2,1,7,7,9,8,1,,,20,0,1,Psikoloji ( ?ngilizce)
80,247,0,1,1,1,1,4,3,4,2,3,5,7,4,1,0,?nsanlar?n kontrollerini ölçmek,18,0,1,Sosyoloji
81,248,1,1,1,1,1,4,0,1,0,0,0,0,4,1,0,A?z?m?zda kalem varken elimizdeki gibi dü?ünebiliyor muyuz. Kalemin elimizde olmas? normal bir?ey. Daha normal dü?ünebiliriz. Ama a?z?m?zdayken yine ayn? tepkileri verebiliyor muyuz? Ayn? dü?ünebiliyor muyuz? Yazmam?z? anlamland?rma biçimimiz de?i?iyor mu?,20,0,1,Psikoloji
82,249,0,1,1,1,1,4,5,2,2,6,7,5,9,,0,Beceriyi.,21,0,1,Psikoloji
83,250,1,1,1,1,1,4,5,3,1,6,3,3,7,,0,"Bu deneyin amac?n?n ilk ba?taki yönlendirmeyi unutmadan, kalemi a?z?m?zda tutarken dudaklara de?dirmeden yap?lmas? gerekti?ini tüm a?amalarda dikkat eksikli?ine dikkat ederek yap?lmas? gerekti?i dusunuyorum. Ayr?ca ilk hedefi elleri kullanamayan insanlar?n kalemle olan ili?kisi ve bununla birlikte onlar için yeni ?eyler üretilmesi.",20,0,1,Psikoloji ( ?ngilizce)
84,251,0,1,1,1,1,4,4,3,0,3,1,0,3,1,0,Organlar?m?z? ( Bu deneyde a?z?m?z? ) i?levlerinin d???ndaki i?lerde kullanmak da ne derece ba?ar?l?y?z,35,0,1,Psikoloji ö?rencisi
85,252,1,1,1,1,1,4,2,3,0,4,1,2,3,1,0,Deneydeki amaç sahip oldu?umuz kabiliyetin daha zor ?artlar alt?nda nas?l hale geldi?ini görmek amaçl? ba?lat?lan ve ard?ndan bu kabiliyeti bu zor ?artlarda zorland???n? görerek ve beynin harekete geçti?i yerlerde ( resimlere odaklanmak) bu zorlu?a kafa yorulmad???n? ve aktif olana (beynin) odaklanmay? sa?l?yor.,21,0,1,Psikoloji
86,253,0,1,1,1,1,4,3,3,2,3,4,4,4,1,0,Kas hakimiyeti,19,0,1,Psikoloji ( ?ngilizce)
87,254,1,0,1,0,0,1,,,5,6,5,8,5,1,0,Beynin en çok çal??an k?s?mlar?n? bilme,20,0,1,English Psychology
88,255,0,1,0,0,0,1,3,6,1,2,0,4,6,0,0,"Asl?nda hiçbir fikrim yok. Ama zorlarsam; insanlar?n normalde elleriyle yapt?klar? i?i a??zlar?yla yaparken ne gibi gariplikler ya?ad?klar?n? anlamak için, diye bir fikir uydurabilirim.",18,0,1,Sosyoloji (1. s?n?f)
89,256,1,1,1,1,1,4,5,5,0,1,1,2,7,1,0,Psikolojik bir deney. Amac? komutlar? uygulamak,19,1,1,Psikoloji
90,257,0,1,1,1,1,4,7,7,1,3,5,5,4,1,0,?nsanlar?n di?er insanlar uzuvlar?n? da belli amaçlar do?rultusunda ne kadar iyi kullanabilece?ini göstermi?tir.,19,0,1,Psikoloji Bölümü
91,258,1,1,1,1,1,4,1,2,2,1,3,6,7,1,0,"Bence bu deney; insanlar?n kendilerini ne kadar tutabilece?i, ilk defa kar??s?na ç?kan sorularla zorluk alt?nda nas?l cevap verebilece?ini ölçmek için düzenlenmi?tir.",18,0,1,Psikoloji
92,259,0,1,1,1,1,4,4,6,3,2,3,4,4,1,0,Vücudumuzda ki al?c?lar herhangi biri i?lev halindeyken di?er çal??mayan bölümlerin o anki i?levini ara?t?rmak için,19,1,1,Psikoloji ( ?ngilizce)
93,260,1,1,1,1,1,4,3,0,0,3,0,6,5,1,0,Di?er insalar?n yerinde oldu?umuzda yap?caklar?m?z. Empati gibi.,19,0,1,Psikoloji ö?rencisi
94,261,0,1,1,1,1,4,6,7,8,4,7,7,8,1,0,"Deneyin amac?nda bizim gibi sa?l?kl? (bedensel engeli olmayan) insanlar?n, bedensel engeli olan ve bu yüzden baz? i?levler için farkl? organlar?n? kullanan insanlar?n halinden anlamam?z amaçlanm??t?r.",18,0,1,Sosyoloji
95,262,1,1,1,1,1,4,5,5,1,3,2,5,5,0,,,18,0,1,Sosyoloji
96,263,0,1,1,1,1,4,4,5,5,0,0,3,3,1,0,"Görevle ilgili, de?i?ik organlar?m?z? kullanarak ne kadar ba?ar?l? olaca??m?z ve bunu yaparken nas?l hissetti?imiz.",18,0,1,Sosyoloji
97,264,1,1,1,1,1,4,0,0,0,0,0,1,9,1,0,"Görme, i?itme, konu?ma gibi duygular?n? kullanamayan insanlar için yap?lan bir deneydir",19,0,1,Psikoloji (ing)
98,265,0,1,1,1,1,4,5,7,3,4,4,5,3,1,0,Engellilere yard?m. Bir çok engel ve zorluklarda ne kadar ba?ar?l? olup empati yapmam?z? sa?lad?.,19,0,1,Psikoloji ( ?ngilizce)
99,266,1,1,1,1,1,4,2,2,1,2,3,1,6,1,0,Fiziksel becerilerimizin ve psiko durumumuz aras?nda olan ba?lant?. Fiziksel-Psiko analiz.,19,0,1,Psikoloji(ing)
100,267,0,1,1,1,1,4,3,0,0,8,6,7,7,1,0,Deneyin amac? engelli insanlar?n i?levlerini yapamayarak ihtiyaçlar?n? giderememesi ihtiyaçlar? yapmakta zorlanmas? mesela kolu olmayan birinin yaz? yazmas?n?n ne kadar zor oldu?u kalemi a??z tutu? ?ekilleriyle daha sa?l?kl? olabilece?ini dü?ünüyorum.,18,0,1,Sosyoloji (1. s?n?f)
101,268,1,1,1,1,1,4,3,3,2,3,5,4,5,1,0,Deney psikomotor kordinasyon ile ilgiliydi.,18,0,1,Psikoloji ( Türkçe)
102,269,0,0,0,0,0,0,7,7,1,1,2,3,2,1,0,De?i?ik ?ekillerde davran??lar?m?z oldu?u ve bizim bunlar?n fark?nda olmad???m?z,19,1,1,Psikoloji ( ?ngilizce)
103,270,1,0,0,0,0,0,9,9,1,3,2,5,1,0,0,farkl? duyu organlar?yla bir?eyler yapabildi?imizi. Ayn? i?leri farkl? duy organlar?n? kullanarak yapmay? becerebilme yetimizi ölçmek,18,1,1,Psikoloji
104,271,0,0,0,0,0,0,6,5,1,1,6,7,3,1,,,19,1,1,Psikoloji
105,272,1,0,1,0,0,1,5,2,1,3,4,2,6,1,0,Deneyin amac? normalin d???na ç?karak insan?n zorunda kald??? kullanmakla hüküm oldu?u hareketlerin zorlu?unu göstermek.,19,1,1,Psikoloji
